incident_id,event_timestamp,service_name,gcp_region,owning_team,severity,root_cause,alert_count,duplicate_alerts,p95_latency_ms,error_rate_pct,cpu_utilization_pct,memory_utilization_pct,deployment_within_2h,customer_impact_score,mttr_minutes,escalated
inc-000001,2026-01-01T00:00:00+00:00,checkout,europe-west1,backend,low,dependency_timeout,3,1,830,1.234,42.94,48.96,0,25.8,29,0
inc-000002,2026-01-01T00:07:00+00:00,user-profile,asia-south1,backend,high,traffic_spike,67,37,204,0.298,74.29,78.02,0,36.14,100,1
inc-000003,2026-01-01T00:14:00+00:00,recommendations,us-east1,platform,low,database_latency,14,9,431,1.356,49.22,75.93,0,21.14,47,0
inc-000004,2026-01-01T00:21:00+00:00,checkout,us-central1,ml-platform,medium,bad_deploy,9,1,122,5.302,80.17,48.12,1,23.01,48,0
inc-000005,2026-01-01T00:28:00+00:00,checkout,europe-west1,payments,low,database_latency,2,0,709,0.628,59.17,100,0,20.51,23,0
inc-000006,2026-01-01T00:35:00+00:00,checkout,europe-west1,platform,low,traffic_spike,9,4,162,0.602,40.68,76.48,1,9.91,33,0
inc-000007,2026-01-01T00:42:00+00:00,checkout,us-central1,payments,low,traffic_spike,8,4,69,1.077,53.12,60.15,0,8.56,25,0
inc-000008,2026-01-01T00:49:00+00:00,user-profile,us-central1,backend,low,dependency_timeout,2,0,752,2.808,46.69,59.99,0,28.12,29,0
inc-000009,2026-01-01T00:56:00+00:00,user-profile,europe-west1,payments,medium,traffic_spike,18,3,142,0.98,56.19,71.73,0,14.59,38,0
inc-000010,2026-01-01T01:03:00+00:00,user-profile,us-east1,backend,medium,traffic_spike,22,12,190,1.099,40.64,67.62,1,17.95,78,0
inc-000011,2026-01-01T01:10:00+00:00,recommendations,europe-west1,ml-platform,medium,traffic_spike,14,2,208,1.438,69.98,65.85,0,15.81,44,0
inc-000012,2026-01-01T01:17:00+00:00,recommendations,europe-west1,platform,low,traffic_spike,8,1,98,0.438,20.17,72.34,0,7.36,16,0
inc-000013,2026-01-01T01:24:00+00:00,checkout,asia-south1,ml-platform,low,dependency_timeout,8,2,687,0.0,66.02,52.94,0,20.78,33,0
inc-000014,2026-01-01T01:31:00+00:00,search,asia-south1,sre,medium,bad_deploy,18,7,168,7.797,70.51,69.04,1,35.69,64,0
inc-000015,2026-01-01T01:38:00+00:00,search,us-central1,ml-platform,high,quota_exhaustion,50,32,352,7.172,43.33,63.54,0,52.82,125,1
inc-000016,2026-01-01T01:45:00+00:00,search,europe-west1,ml-platform,low,database_latency,8,2,379,1.649,68.38,59.74,0,18.02,38,0
inc-000017,2026-01-01T01:52:00+00:00,payments,europe-west1,sre,medium,database_latency,20,4,565,0.0,28.68,82.34,0,23.12,76,0
inc-000018,2026-01-01T01:59:00+00:00,search,us-east1,platform,medium,traffic_spike,31,17,212,0.735,52.4,67.28,0,21.46,62,0
inc-000019,2026-01-01T02:06:00+00:00,recommendations,europe-west1,backend,medium,traffic_spike,15,6,177,0.0,50.36,84.47,0,11.18,40,0
inc-000020,2026-01-01T02:13:00+00:00,checkout,europe-west1,ml-platform,high,traffic_spike,59,21,155,1.11,78.15,63.96,1,33.76,169,1
inc-000021,2026-01-01T02:20:00+00:00,recommendations,us-central1,ml-platform,medium,traffic_spike,17,2,191,0.56,74.53,64.13,0,14.11,31,0
inc-000022,2026-01-01T02:27:00+00:00,payments,us-east1,platform,high,traffic_spike,40,17,208,1.095,26.8,67.69,0,26.48,84,1
inc-000023,2026-01-01T02:34:00+00:00,search,us-east1,ml-platform,medium,traffic_spike,19,8,213,0.778,41.68,49.89,0,16.21,55,0
inc-000024,2026-01-01T02:41:00+00:00,user-profile,asia-south1,platform,medium,bad_deploy,20,2,207,11.253,69.49,71.08,1,47.93,81,1
inc-000025,2026-01-01T02:48:00+00:00,checkout,europe-west1,ml-platform,medium,quota_exhaustion,20,2,124,4.418,63.14,84.99,1,25.35,60,0
inc-000026,2026-01-01T02:55:00+00:00,checkout,asia-south1,ml-platform,low,traffic_spike,8,4,177,0.629,78.9,67.3,0,9.91,25,0
inc-000027,2026-01-01T03:02:00+00:00,recommendations,europe-west1,payments,medium,database_latency,27,6,373,1.936,75.08,79.1,0,27.28,48,0
inc-000028,2026-01-01T03:09:00+00:00,recommendations,us-central1,payments,medium,traffic_spike,16,1,164,1.602,60.58,50.53,0,16.11,40,0
inc-000029,2026-01-01T03:16:00+00:00,recommendations,asia-south1,sre,low,database_latency,3,1,862,1.688,50.12,66.06,0,27.96,30,0
inc-000030,2026-01-01T03:23:00+00:00,checkout,europe-west1,backend,low,database_latency,5,2,1091,0.714,58.56,43.89,0,31.67,35,0
inc-000031,2026-01-01T03:30:00+00:00,user-profile,asia-south1,sre,low,bad_deploy,7,2,172,11.251,90.82,36.63,1,41.2,67,1
inc-000032,2026-01-01T03:37:00+00:00,inventory,us-central1,platform,medium,traffic_spike,16,6,132,0.765,50.94,67.91,0,12.8,51,0
inc-000033,2026-01-01T03:44:00+00:00,payments,us-central1,backend,high,database_latency,44,15,659,2.41,67.8,63.7,1,43.51,102,1
inc-000034,2026-01-01T03:51:00+00:00,user-profile,europe-west1,platform,medium,dependency_timeout,17,5,741,2.118,45.93,72.28,1,32.53,73,0
inc-000035,2026-01-01T03:58:00+00:00,user-profile,us-central1,backend,low,bad_deploy,5,3,184,9.151,79.87,86.09,1,34.3,51,1
inc-000036,2026-01-01T04:05:00+00:00,recommendations,europe-west1,payments,medium,bad_deploy,17,2,290,12.155,20.53,58.22,1,51.36,109,1
inc-000037,2026-01-01T04:12:00+00:00,search,us-central1,sre,critical,database_latency,66,29,678,0.042,72.44,61.18,1,46.78,225,1
inc-000038,2026-01-01T04:19:00+00:00,recommendations,us-central1,payments,medium,bad_deploy,24,2,192,6.058,57.64,66.01,1,33.77,74,0
inc-000039,2026-01-01T04:26:00+00:00,inventory,europe-west1,backend,low,quota_exhaustion,2,0,198,3.613,71.54,44.71,0,16.69,24,0
inc-000040,2026-01-01T04:33:00+00:00,recommendations,us-central1,ml-platform,high,database_latency,81,45,1002,2.529,45.53,43.03,0,69.09,217,1
inc-000041,2026-01-01T04:40:00+00:00,recommendations,us-central1,backend,low,database_latency,8,4,337,0.097,73.5,71.62,0,12.32,30,0
inc-000042,2026-01-01T04:47:00+00:00,user-profile,us-east1,platform,high,bad_deploy,59,20,154,6.481,48.85,53.43,1,49.84,200,1
inc-000043,2026-01-01T04:54:00+00:00,user-profile,europe-west1,platform,medium,traffic_spike,15,8,183,0.0,69.22,58.82,0,11.32,23,0
inc-000044,2026-01-01T05:01:00+00:00,user-profile,europe-west1,backend,high,traffic_spike,27,15,197,2.611,36.39,57.53,0,24.91,70,1
inc-000045,2026-01-01T05:08:00+00:00,inventory,asia-south1,ml-platform,critical,traffic_spike,74,28,307,0.506,48.65,90.27,1,42.49,226,1
inc-000046,2026-01-01T05:15:00+00:00,checkout,asia-south1,ml-platform,medium,traffic_spike,1,0,259,0.398,45.09,77.95,1,8.12,9,0
inc-000047,2026-01-01T05:22:00+00:00,inventory,asia-south1,ml-platform,low,dependency_timeout,8,2,662,1.3,66.24,81.42,0,24.05,32,0
inc-000048,2026-01-01T05:29:00+00:00,checkout,us-central1,payments,medium,bad_deploy,18,9,269,4.963,100,53.97,1,29.71,70,0
inc-000049,2026-01-01T05:36:00+00:00,checkout,us-central1,ml-platform,low,quota_exhaustion,2,0,79,6.569,75.28,68.1,0,22.58,31,0
inc-000050,2026-01-01T05:43:00+00:00,recommendations,asia-south1,ml-platform,high,bad_deploy,59,9,167,5.964,56.97,64.87,1,48.62,159,1
inc-000051,2026-01-01T05:50:00+00:00,user-profile,europe-west1,backend,high,traffic_spike,20,10,244,0.0,45.68,72.7,1,15.1,59,1
inc-000052,2026-01-01T05:57:00+00:00,payments,us-central1,payments,low,bad_deploy,5,2,181,2.904,79.93,85.13,1,15.49,29,0
inc-000053,2026-01-01T06:04:00+00:00,recommendations,us-central1,payments,low,database_latency,6,2,473,0.717,34.06,69.52,1,16.68,32,0
inc-000054,2026-01-01T06:11:00+00:00,user-profile,us-central1,backend,low,traffic_spike,11,4,159,0.52,58.49,67.97,0,10.48,29,0
inc-000055,2026-01-01T06:18:00+00:00,inventory,us-central1,payments,medium,database_latency,12,3,596,1.585,54.52,69.76,1,25.05,59,0
inc-000056,2026-01-01T06:25:00+00:00,user-profile,us-central1,ml-platform,medium,dependency_timeout,14,4,652,2.77,57.99,69.94,0,30.91,65,0
inc-000057,2026-01-01T06:32:00+00:00,search,us-central1,payments,medium,dependency_timeout,21,9,735,1.399,68.48,69.06,0,32.02,92,0
inc-000058,2026-01-01T06:39:00+00:00,recommendations,europe-west1,ml-platform,medium,bad_deploy,20,3,214,10.976,88.64,63.14,1,47.28,94,1
inc-000059,2026-01-01T06:46:00+00:00,search,europe-west1,payments,low,bad_deploy,11,4,233,3.586,58.96,60.31,1,21.53,56,0
inc-000060,2026-01-01T06:53:00+00:00,payments,us-central1,payments,high,bad_deploy,6,2,103,12.423,61.02,73.26,1,42.54,62,1
inc-000061,2026-01-01T07:00:00+00:00,user-profile,asia-south1,ml-platform,low,traffic_spike,9,5,158,1.549,82.55,49.79,0,12.65,31,0
inc-000062,2026-01-01T07:07:00+00:00,checkout,us-central1,sre,low,dependency_timeout,4,0,821,1.492,73.63,42.54,0,26.8,32,0
inc-000063,2026-01-01T07:14:00+00:00,inventory,us-east1,sre,medium,dependency_timeout,18,5,837,1.735,61.63,80.22,0,34.23,85,0
inc-000064,2026-01-01T07:21:00+00:00,recommendations,europe-west1,payments,low,traffic_spike,6,3,161,1.031,39.07,73.26,1,9.82,20,0
inc-000065,2026-01-01T07:28:00+00:00,inventory,asia-south1,backend,low,database_latency,9,1,849,0.134,71.89,61.43,0,25.68,43,0
inc-000066,2026-01-01T07:35:00+00:00,payments,us-east1,ml-platform,high,traffic_spike,55,8,117,1.41,69.58,94.08,0,31.91,157,1
inc-000067,2026-01-01T07:42:00+00:00,checkout,us-east1,platform,medium,database_latency,21,9,533,0.724,95.5,78.95,1,24.95,54,0
inc-000068,2026-01-01T07:49:00+00:00,search,us-central1,ml-platform,medium,database_latency,19,6,765,0.441,61.93,83.51,0,29.0,73,0
inc-000069,2026-01-01T07:56:00+00:00,inventory,europe-west1,backend,high,traffic_spike,39,7,347,1.58,64.8,75.06,0,30.96,138,1
inc-000070,2026-01-01T08:03:00+00:00,inventory,europe-west1,ml-platform,high,traffic_spike,58,31,206,1.117,59.8,90.86,0,34.6,166,1
inc-000071,2026-01-01T08:10:00+00:00,checkout,europe-west1,backend,medium,bad_deploy,13,4,225,6.413,86.47,55.67,1,30.71,52,0
inc-000072,2026-01-01T08:17:00+00:00,user-profile,asia-south1,platform,medium,dependency_timeout,12,1,910,1.44,45.07,100,0,32.47,51,0
inc-000073,2026-01-01T08:24:00+00:00,inventory,asia-south1,ml-platform,low,traffic_spike,8,2,136,1.433,71.56,45.2,0,11.3,21,0
inc-000074,2026-01-01T08:31:00+00:00,checkout,us-central1,payments,medium,database_latency,18,11,773,0.014,54.97,91.29,0,27.47,49,0
inc-000075,2026-01-01T08:38:00+00:00,checkout,us-east1,ml-platform,critical,dependency_timeout,44,6,937,0.976,56.44,65.28,0,46.15,142,1
inc-000076,2026-01-01T08:45:00+00:00,payments,europe-west1,backend,low,database_latency,13,2,701,1.709,56.95,59.54,0,28.5,55,0
inc-000077,2026-01-01T08:52:00+00:00,payments,europe-west1,sre,low,bad_deploy,11,6,207,14.533,66.97,77.08,1,53.72,95,1
inc-000078,2026-01-01T08:59:00+00:00,user-profile,us-east1,backend,low,database_latency,8,2,415,0.521,54.04,62.14,0,15.54,34,0
inc-000079,2026-01-01T09:06:00+00:00,inventory,us-central1,backend,medium,traffic_spike,10,5,183,0.147,56.54,77.73,0,9.52,25,0
inc-000080,2026-01-01T09:13:00+00:00,checkout,us-central1,payments,high,database_latency,35,8,596,1.311,69.38,54.78,0,34.58,120,1
inc-000081,2026-01-01T09:20:00+00:00,search,us-east1,payments,low,traffic_spike,7,3,66,0.0,71.32,47.75,1,4.8,21,0
inc-000082,2026-01-01T09:27:00+00:00,checkout,us-east1,platform,medium,bad_deploy,12,6,195,12.415,70.92,57.59,1,47.52,70,1
inc-000083,2026-01-01T09:34:00+00:00,recommendations,asia-south1,backend,medium,traffic_spike,18,7,147,1.588,56.07,62.27,0,16.54,44,0
inc-000084,2026-01-01T09:41:00+00:00,search,europe-west1,backend,medium,bad_deploy,18,4,110,7.744,76.59,36.81,1,34.08,58,0
inc-000085,2026-01-01T09:48:00+00:00,inventory,europe-west1,payments,low,dependency_timeout,12,5,340,0.054,47.47,86.41,0,14.06,26,0
inc-000086,2026-01-01T09:55:00+00:00,payments,europe-west1,ml-platform,medium,dependency_timeout,22,6,327,2.306,52.18,94.64,0,24.99,86,0
inc-000087,2026-01-01T10:02:00+00:00,inventory,us-east1,sre,high,traffic_spike,27,14,153,0.219,52.66,53.7,1,16.63,71,1
inc-000088,2026-01-01T10:09:00+00:00,user-profile,us-central1,payments,high,dependency_timeout,19,7,542,0.972,42.55,87.62,0,25.02,63,1
inc-000089,2026-01-01T10:16:00+00:00,payments,us-east1,payments,critical,traffic_spike,48,22,182,0.191,67.43,81.35,0,26.72,119,1
inc-000090,2026-01-01T10:23:00+00:00,payments,us-central1,sre,low,traffic_spike,5,2,125,0.703,63.69,70.37,1,7.48,13,0
inc-000091,2026-01-01T10:30:00+00:00,payments,us-east1,platform,medium,traffic_spike,22,8,139,0.0,62.59,77.36,1,13.38,71,0
