record_id,event_date,project_name,service_name,gcp_region,environment,owning_team,signal_category,metric_a,metric_b,metric_c,metric_d,risk_score,cost_anomaly
gcp-cost-001-00001,2026-01-01,project-06,cloud-sql,asia-south1,prod,finops,security,67.21,10.233,0.603,176.876,94.3,1
gcp-cost-001-00002,2026-01-02,project-23,gke,europe-west1,prod,platform,quality,83.613,9.476,0.563,88.989,84.058,1
gcp-cost-001-00003,2026-01-03,project-13,bigquery,global,sandbox,mlops,security,24.332,4.576,0.782,78.192,57.967,0
gcp-cost-001-00004,2026-01-04,project-22,cloud-run,asia-south1,prod,mlops,security,86.535,6.673,0.793,87.189,86.328,1
gcp-cost-001-00005,2026-01-05,project-16,cloud-sql,europe-west1,dev,finops,reliability,5.42,5.514,0.557,71.178,44.638,0
gcp-cost-001-00006,2026-01-06,project-04,compute,us-east1,staging,data,reliability,64.408,19.796,0.328,80.688,91.98,1
gcp-cost-001-00007,2026-01-07,project-16,vertex-ai,us-central1,dev,mlops,latency,76.263,8.293,0.709,169.038,95.509,1
gcp-cost-001-00008,2026-01-08,project-15,bigquery,us-east1,prod,finops,reliability,72.938,7.059,0.446,161.442,81.153,1
gcp-cost-001-00009,2026-01-09,project-14,vertex-ai,global,prod,mlops,security,98.701,14.193,0.512,114.06,100,1
gcp-cost-001-00010,2026-01-10,project-15,compute,asia-south1,dev,mlops,cost,61.012,9.929,0.402,135.864,78.405,1
gcp-cost-001-00011,2026-01-11,project-01,vertex-ai,us-central1,prod,mlops,latency,94.893,17.183,0.293,128.524,100,1
gcp-cost-001-00012,2026-01-12,project-16,vertex-ai,global,sandbox,platform,latency,57.451,13.072,0.624,225.034,100,1
gcp-cost-001-00013,2026-01-13,project-21,cloud-run,global,staging,finops,quality,8.96,9.597,0.547,118.357,61.934,0
gcp-cost-001-00014,2026-01-14,project-09,cloud-run,europe-west1,prod,mlops,quality,34.088,9.714,0.339,185.204,73.471,1
gcp-cost-001-00015,2026-01-15,project-22,pubsub,us-central1,prod,finops,latency,70.012,4.099,0.61,151.668,77.537,1
gcp-cost-001-00016,2026-01-16,project-20,gke,europe-west1,prod,security,latency,87.818,2.675,0.636,163.045,83.015,1
gcp-cost-001-00017,2026-01-17,project-12,cloud-run,europe-west1,prod,platform,security,40.076,8.551,0.616,180.816,81.908,1
gcp-cost-001-00018,2026-01-18,project-07,compute,europe-west1,sandbox,security,quality,31.563,14.366,0.266,124.356,72.013,0
gcp-cost-001-00019,2026-01-19,project-03,gke,us-east1,prod,mlops,quality,76.265,6.581,0.504,126.974,78.205,1
gcp-cost-001-00020,2026-01-20,project-08,pubsub,us-east1,prod,platform,cost,53.899,5.269,0.325,200.414,71.761,1
gcp-cost-001-00021,2026-01-21,project-03,compute,global,prod,backend,security,66.687,12.104,0.467,132.499,87.251,1
gcp-cost-001-00022,2026-01-22,project-03,compute,us-east1,prod,mlops,reliability,61.91,9.147,0.539,193.009,90.024,1
gcp-cost-001-00023,2026-01-23,project-23,cloud-run,europe-west1,staging,platform,security,42.509,4.439,0.356,192.785,65.81,0
gcp-cost-001-00024,2026-01-24,project-01,cloud-sql,us-central1,prod,mlops,quality,80.315,13.233,0.408,146.157,94.582,1
gcp-cost-001-00025,2026-01-25,project-11,gke,us-east1,prod,mlops,quality,57.253,7.451,0.54,2.487,56.687,0
gcp-cost-001-00026,2026-01-26,project-14,vertex-ai,asia-south1,prod,data,latency,72.93,9.572,0.938,73.35,91.387,1
gcp-cost-001-00027,2026-01-27,project-09,pubsub,us-central1,sandbox,mlops,security,65.369,10.385,0.637,190.867,97.241,1
gcp-cost-001-00028,2026-01-28,project-19,compute,us-central1,staging,security,reliability,41.995,7.365,0.603,73.575,63.718,0
gcp-cost-001-00029,2026-01-29,project-21,cloud-run,asia-south1,sandbox,security,latency,42.624,36.775,0.736,129.471,100,1
gcp-cost-001-00030,2026-01-30,project-21,vertex-ai,us-central1,prod,security,latency,34.218,12.486,0.765,192.026,95.889,1
gcp-cost-001-00031,2026-01-31,project-04,bigquery,asia-south1,sandbox,finops,latency,47.2,9.588,0.591,231.098,93.279,1
gcp-cost-001-00032,2026-02-01,project-22,cloud-sql,europe-west1,dev,data,reliability,47.315,9.645,0.801,121.778,84.86,1
gcp-cost-001-00033,2026-02-02,project-09,cloud-run,global,staging,security,reliability,27.672,17.952,0.684,84.369,87.817,1
gcp-cost-001-00034,2026-02-03,project-18,vertex-ai,global,sandbox,security,security,68.531,10.545,0.541,145.595,88.758,1
gcp-cost-001-00035,2026-02-04,project-03,cloud-sql,us-central1,staging,data,reliability,49.179,6.19,0.552,132.829,70.347,0
gcp-cost-001-00036,2026-02-05,project-02,cloud-run,us-east1,prod,platform,latency,82.711,9.254,0.385,26.246,67.844,1
gcp-cost-001-00037,2026-02-06,project-22,cloud-run,global,dev,finops,cost,88.102,5.672,0.31,240.309,89.965,1
gcp-cost-001-00038,2026-02-07,project-20,pubsub,us-central1,dev,mlops,quality,24.192,10.651,0.706,176.22,83.728,1
gcp-cost-001-00039,2026-02-08,project-02,cloud-run,us-east1,dev,security,quality,10.158,12.428,0.675,182.115,82.737,1
gcp-cost-001-00040,2026-02-09,project-12,pubsub,global,staging,backend,latency,19.768,8.475,0.668,76.664,61.254,0
gcp-cost-001-00041,2026-02-10,project-21,compute,global,prod,finops,security,72.438,16.039,0.707,81.819,99.455,1
gcp-cost-001-00042,2026-02-11,project-08,gke,global,sandbox,mlops,reliability,58.688,7.114,0.461,68.324,63.239,1
gcp-cost-001-00043,2026-02-12,project-24,vertex-ai,europe-west1,staging,mlops,latency,29.899,14.127,0.466,122.571,77.613,1
gcp-cost-001-00044,2026-02-13,project-21,bigquery,asia-south1,staging,platform,cost,34.217,5.526,0.553,171.023,69.166,0
gcp-cost-001-00045,2026-02-14,project-24,vertex-ai,us-east1,dev,finops,latency,31.133,4.924,0.079,60.518,33.976,0
gcp-cost-001-00046,2026-02-15,project-19,cloud-run,global,prod,mlops,cost,70.755,7.704,0.595,236.589,98.068,1
gcp-cost-001-00047,2026-02-16,project-13,gke,us-east1,prod,mlops,security,53.042,12.008,0.582,195.451,95.457,1
gcp-cost-001-00048,2026-02-17,project-02,compute,global,prod,data,quality,88.925,6.443,0.598,177.576,92.984,1
gcp-cost-001-00049,2026-02-18,project-07,vertex-ai,europe-west1,sandbox,finops,cost,25.176,8.875,0.729,110.425,71.139,0
