record_id,event_date,project_name,service_name,gcp_region,environment,owning_team,signal_category,metric_a,metric_b,metric_c,metric_d,risk_score,risk_detected
cloud-security-007-00001,2026-01-01,project-22,pubsub,us-east1,prod,security,security,42.773,9.553,0.675,99.607,75.412,1
cloud-security-007-00002,2026-01-02,project-20,vertex-ai,asia-south1,prod,finops,security,81.839,11.283,0.808,150.983,100,1
cloud-security-007-00003,2026-01-03,project-03,gke,europe-west1,sandbox,mlops,reliability,38.44,12.229,0.82,148.712,92.375,1
cloud-security-007-00004,2026-01-04,project-20,vertex-ai,us-east1,dev,security,security,33.308,8.321,0.274,116.384,57.636,1
cloud-security-007-00005,2026-01-05,project-03,bigquery,global,prod,mlops,cost,50.737,4.475,0.595,148.899,70.739,1
cloud-security-007-00006,2026-01-06,project-21,vertex-ai,global,prod,security,latency,62.616,8.395,0.724,174.611,92.308,1
cloud-security-007-00007,2026-01-07,project-21,pubsub,europe-west1,sandbox,finops,cost,55.431,8.891,0.462,96.543,70.396,1
cloud-security-007-00008,2026-01-08,project-02,vertex-ai,europe-west1,sandbox,security,quality,19.375,17.915,0.925,118.754,98.276,1
cloud-security-007-00009,2026-01-09,project-12,vertex-ai,us-east1,prod,backend,quality,56.462,7.096,0.638,66.626,68.365,0
cloud-security-007-00010,2026-01-10,project-09,cloud-sql,us-east1,dev,finops,quality,31.911,15.54,0.164,139.303,73.484,1
cloud-security-007-00011,2026-01-11,project-17,bigquery,us-east1,prod,platform,latency,83.933,6.392,0.948,176.899,100,1
cloud-security-007-00012,2026-01-12,project-13,vertex-ai,us-east1,sandbox,data,latency,53.563,15.762,0.443,125.865,89.385,1
cloud-security-007-00013,2026-01-13,project-20,cloud-sql,asia-south1,dev,platform,security,47.693,4.167,0.0,134.518,46.033,0
cloud-security-007-00014,2026-01-14,project-11,vertex-ai,us-east1,prod,platform,cost,76.131,9.706,0.652,115.608,88.973,1
cloud-security-007-00015,2026-01-15,project-07,bigquery,us-east1,prod,mlops,reliability,77.816,4.456,0.625,81.279,71.361,1
cloud-security-007-00016,2026-01-16,project-06,pubsub,asia-south1,prod,data,latency,51.274,7.459,0.667,104.459,73.929,1
cloud-security-007-00017,2026-01-17,project-14,compute,global,dev,mlops,cost,64.784,6.645,0.421,43.422,59.247,0
cloud-security-007-00018,2026-01-18,project-18,gke,us-central1,staging,platform,reliability,41.036,17.627,0.524,59.755,82.547,1
cloud-security-007-00019,2026-01-19,project-10,pubsub,us-central1,prod,data,security,65.843,6.398,0.715,131.129,82.122,1
cloud-security-007-00020,2026-01-20,project-23,cloud-run,us-east1,prod,security,quality,49.19,7.583,0.389,68.548,58.522,0
cloud-security-007-00021,2026-01-21,project-20,compute,us-central1,sandbox,data,quality,42.933,8.299,0.312,76.425,56.456,0
cloud-security-007-00022,2026-01-22,project-02,bigquery,europe-west1,prod,platform,quality,89.651,5.18,0.384,89.136,69.904,1
cloud-security-007-00023,2026-01-23,project-15,vertex-ai,us-east1,prod,data,quality,19.782,12.383,0.857,142.913,86.654,1
cloud-security-007-00024,2026-01-24,project-17,vertex-ai,us-east1,sandbox,platform,cost,37.471,9.08,0.414,67.682,58.662,0
cloud-security-007-00025,2026-01-25,project-11,cloud-run,us-central1,staging,platform,reliability,24.811,4.424,0.392,101.265,47.494,0
cloud-security-007-00026,2026-01-26,project-19,cloud-sql,global,sandbox,finops,quality,28.643,7.71,0.696,130.791,71.449,1
cloud-security-007-00027,2026-01-27,project-14,pubsub,global,prod,finops,security,65.222,6.865,0.412,142.029,73.979,0
cloud-security-007-00028,2026-01-28,project-14,cloud-sql,asia-south1,staging,mlops,reliability,52.085,11.189,0.638,159.268,89.894,1
cloud-security-007-00029,2026-01-29,project-18,pubsub,us-east1,prod,data,latency,48.206,4.297,0.725,188.6,79.778,1
cloud-security-007-00030,2026-01-30,project-13,bigquery,europe-west1,sandbox,finops,latency,45.662,3.753,0.322,104.15,51.197,0
cloud-security-007-00031,2026-01-31,project-08,compute,europe-west1,dev,data,reliability,20.204,13.875,0.569,12.641,61.205,0
cloud-security-007-00032,2026-02-01,project-06,pubsub,us-east1,prod,backend,cost,88.978,4.452,1.059,68.186,88.539,1
cloud-security-007-00033,2026-02-02,project-03,bigquery,asia-south1,prod,mlops,quality,87.506,9.966,0.282,70.526,74.036,1
cloud-security-007-00034,2026-02-03,project-21,cloud-sql,us-east1,prod,finops,cost,60.664,7.771,0.514,52.449,65.004,1
cloud-security-007-00035,2026-02-04,project-06,cloud-sql,asia-south1,sandbox,data,reliability,35.576,14.064,0.768,123.696,90.187,1
cloud-security-007-00036,2026-02-05,project-05,gke,us-central1,prod,security,security,52.653,4.568,0.629,0.0,51.102,0
cloud-security-007-00037,2026-02-06,project-03,cloud-sql,us-central1,prod,security,cost,46.663,5.115,0.752,186.88,81.84,1
cloud-security-007-00038,2026-02-07,project-02,bigquery,us-east1,dev,data,security,0.0,11.576,0.487,141.557,64.699,0
cloud-security-007-00039,2026-02-08,project-10,gke,asia-south1,sandbox,data,reliability,36.006,7.618,0.562,132.389,69.354,1
cloud-security-007-00040,2026-02-09,project-12,compute,us-east1,dev,mlops,security,62.89,14.154,0.578,104.754,90.544,1
cloud-security-007-00041,2026-02-10,project-05,vertex-ai,global,staging,finops,reliability,12.975,5.104,0.362,28.512,33.279,0
cloud-security-007-00042,2026-02-11,project-21,vertex-ai,europe-west1,prod,data,security,81.875,6.451,0.662,51.883,74.445,1
cloud-security-007-00043,2026-02-12,project-08,compute,global,staging,security,security,31.861,12.534,0.601,140.437,81.913,1
