record_id,event_date,project_name,service_name,gcp_region,environment,owning_team,signal_category,metric_a,metric_b,metric_c,metric_d,risk_score,incident_escalated
gke-sre-012-00001,2026-01-01,project-06,vertex-ai,global,sandbox,backend,security,60.268,11.966,0.468,100.666,80.075,1
gke-sre-012-00002,2026-01-02,project-14,bigquery,us-east1,sandbox,finops,reliability,48.663,21.594,0.465,0.0,83.693,1
gke-sre-012-00003,2026-01-03,project-11,vertex-ai,us-central1,prod,backend,latency,94.16,4.928,0.565,225.418,97.103,1
gke-sre-012-00004,2026-01-04,project-04,gke,global,staging,backend,security,44.395,6.124,0.452,92.185,59.091,0
gke-sre-012-00005,2026-01-05,project-03,cloud-run,europe-west1,prod,finops,quality,86.621,3.508,0.632,110.161,76.688,1
gke-sre-012-00006,2026-01-06,project-18,pubsub,us-east1,prod,mlops,security,58.31,13.583,0.649,138.882,95.071,1
gke-sre-012-00007,2026-01-07,project-02,pubsub,us-east1,prod,finops,latency,57.43,5.577,0.718,184.625,85.168,1
gke-sre-012-00008,2026-01-08,project-08,cloud-run,us-east1,staging,finops,latency,35.362,10.58,0.378,13.829,52.31,0
gke-sre-012-00009,2026-01-09,project-23,compute,us-central1,prod,data,security,28.322,23.977,0.606,115.271,100,1
gke-sre-012-00010,2026-01-10,project-10,compute,asia-south1,prod,finops,cost,53.225,5.717,0.334,130.052,62.624,1
gke-sre-012-00011,2026-01-11,project-10,cloud-sql,global,dev,security,security,7.839,10.967,0.376,193.844,69.762,1
gke-sre-012-00012,2026-01-12,project-07,pubsub,europe-west1,prod,data,latency,71.975,5.768,0.336,123.614,68.437,0
gke-sre-012-00013,2026-01-13,project-20,cloud-run,us-east1,dev,mlops,quality,57.598,8.615,0.463,205.171,86.387,1
gke-sre-012-00014,2026-01-14,project-01,bigquery,us-east1,prod,mlops,reliability,68.783,11.963,0.795,233.33,100,1
gke-sre-012-00015,2026-01-15,project-06,compute,global,dev,backend,reliability,30.847,7.634,0.399,35.518,47.754,0
gke-sre-012-00016,2026-01-16,project-12,cloud-run,europe-west1,prod,finops,cost,80.396,24.463,0.455,165.76,100,1
gke-sre-012-00017,2026-01-17,project-14,pubsub,us-east1,staging,finops,cost,50.499,10.746,0.453,107.489,74.279,1
gke-sre-012-00018,2026-01-18,project-20,compute,us-east1,sandbox,mlops,latency,23.792,7.206,0.761,100.024,66.363,1
gke-sre-012-00019,2026-01-19,project-16,compute,europe-west1,dev,backend,latency,67.723,10.245,0.451,117.62,80.546,1
gke-sre-012-00020,2026-01-20,project-05,cloud-run,global,prod,finops,security,52.53,12.179,0.414,53.47,69.091,1
gke-sre-012-00021,2026-01-21,project-09,compute,us-east1,staging,mlops,quality,88.014,6.885,0.496,184.324,91.11,1
gke-sre-012-00022,2026-01-22,project-15,cloud-sql,asia-south1,prod,finops,security,91.588,16.405,0.615,84.421,100,1
gke-sre-012-00023,2026-01-23,project-23,compute,global,prod,backend,security,43.972,5.077,0.618,113.392,65.403,0
gke-sre-012-00024,2026-01-24,project-05,compute,global,prod,mlops,latency,48.984,10.24,0.511,220.163,91.03,1
gke-sre-012-00025,2026-01-25,project-21,gke,global,prod,mlops,quality,56.513,6.603,0.571,159.645,78.453,1
gke-sre-012-00026,2026-01-26,project-18,gke,asia-south1,staging,security,cost,54.125,9.899,0.551,105.959,76.779,1
gke-sre-012-00027,2026-01-27,project-18,vertex-ai,europe-west1,dev,data,cost,49.208,4.065,0.709,36.536,56.851,0
gke-sre-012-00028,2026-01-28,project-03,vertex-ai,global,prod,finops,quality,101.168,8.577,0.718,106.177,96.036,1
gke-sre-012-00029,2026-01-29,project-21,pubsub,us-east1,prod,finops,security,61.46,10.684,0.52,60.296,73.434,1
gke-sre-012-00030,2026-01-30,project-24,vertex-ai,europe-west1,prod,finops,quality,82.294,6.865,0.701,135.074,89.055,1
gke-sre-012-00031,2026-01-31,project-19,pubsub,europe-west1,dev,backend,quality,16.92,7.484,0.732,32.976,53.814,0
gke-sre-012-00032,2026-02-01,project-12,vertex-ai,us-east1,staging,data,security,33.084,8.13,0.642,150.167,74.919,1
gke-sre-012-00033,2026-02-02,project-18,vertex-ai,europe-west1,dev,data,reliability,46.687,7.357,0.644,35.822,61.271,0
gke-sre-012-00034,2026-02-03,project-21,pubsub,asia-south1,sandbox,backend,cost,62.306,10.933,0.659,59.696,79.088,1
gke-sre-012-00035,2026-02-04,project-11,gke,global,sandbox,mlops,cost,43.192,6.681,0.664,129.351,72.81,1
gke-sre-012-00036,2026-02-05,project-14,cloud-run,us-east1,sandbox,finops,quality,48.902,6.112,0.741,130.873,76.398,1
gke-sre-012-00037,2026-02-06,project-13,cloud-run,us-central1,staging,finops,security,27.231,6.215,0.309,60.809,43.715,0
gke-sre-012-00038,2026-02-07,project-10,vertex-ai,asia-south1,sandbox,platform,reliability,82.33,7.257,0.499,161.185,86.72,1
gke-sre-012-00039,2026-02-08,project-02,gke,asia-south1,prod,platform,cost,57.968,6.019,0.809,56.801,70.932,0
gke-sre-012-00040,2026-02-09,project-19,vertex-ai,us-east1,prod,backend,reliability,56.356,6.9,0.233,99.433,58.48,0
gke-sre-012-00041,2026-02-10,project-24,cloud-run,asia-south1,prod,finops,latency,55.635,11.356,0.683,153.008,92.188,1
gke-sre-012-00042,2026-02-11,project-02,bigquery,europe-west1,prod,finops,reliability,59.312,5.577,0.442,124.797,67.442,1
gke-sre-012-00043,2026-02-12,project-04,cloud-sql,global,staging,finops,latency,51.164,5.642,0.148,102.174,51.152,0
gke-sre-012-00044,2026-02-13,project-19,pubsub,us-east1,prod,finops,cost,67.02,13.63,0.588,98.368,90.186,1
gke-sre-012-00045,2026-02-14,project-12,bigquery,europe-west1,prod,finops,cost,42.052,8.759,0.498,7.483,53.677,0
gke-sre-012-00046,2026-02-15,project-19,gke,asia-south1,prod,backend,quality,85.597,12.839,0.803,61.284,96.959,1
gke-sre-012-00047,2026-02-16,project-05,compute,us-central1,dev,finops,latency,43.88,4.229,0.374,59.703,47.022,0
gke-sre-012-00048,2026-02-17,project-23,bigquery,us-east1,dev,mlops,reliability,31.948,14.55,0.353,179.273,83.631,1
gke-sre-012-00049,2026-02-18,project-24,cloud-run,europe-west1,prod,backend,security,89.603,7.447,0.49,143.321,86.788,1
gke-sre-012-00050,2026-02-19,project-19,vertex-ai,global,prod,security,quality,74.739,17.384,0.444,87.699,95.051,1
gke-sre-012-00051,2026-02-20,project-15,cloud-sql,us-central1,prod,platform,reliability,61.988,15.931,0.713,99.715,98.365,1
gke-sre-012-00052,2026-02-21,project-13,pubsub,us-east1,prod,finops,cost,65.99,4.71,0.522,189.716,80.023,1
