record_id,event_date,project_name,service_name,gcp_region,environment,owning_team,signal_category,metric_a,metric_b,metric_c,metric_d,risk_score,quality_issue
data-quality-018-00001,2026-01-01,project-01,vertex-ai,europe-west1,prod,data,latency,92.241,17.747,0.622,147.471,100,1
data-quality-018-00002,2026-01-02,project-02,gke,us-central1,prod,data,reliability,86.738,7.082,0.445,0.0,62.458,0
data-quality-018-00003,2026-01-03,project-18,bigquery,us-central1,dev,backend,quality,36.31,15.194,0.528,39.804,72.446,0
data-quality-018-00004,2026-01-04,project-24,cloud-run,us-east1,prod,security,security,108.741,10.457,0.683,94.602,100,1
data-quality-018-00005,2026-01-05,project-17,pubsub,europe-west1,prod,backend,quality,40.591,12.811,0.891,95.418,89.199,1
data-quality-018-00006,2026-01-06,project-10,bigquery,asia-south1,dev,mlops,reliability,52.433,3.486,0.784,119.083,71.292,0
data-quality-018-00007,2026-01-07,project-24,compute,asia-south1,dev,finops,latency,64.173,6.532,0.648,133.119,79.795,1
data-quality-018-00008,2026-01-08,project-13,bigquery,europe-west1,dev,finops,latency,24.562,11.296,0.612,130.854,75.457,1
data-quality-018-00009,2026-01-09,project-17,cloud-sql,us-east1,prod,backend,latency,85.103,8.599,0.452,191.338,93.574,1
data-quality-018-00010,2026-01-10,project-03,compute,us-central1,prod,platform,quality,111.569,5.489,0.464,210.39,98.779,1
data-quality-018-00011,2026-01-11,project-04,vertex-ai,us-east1,prod,security,cost,67.147,10.505,0.443,116.839,80.557,1
data-quality-018-00012,2026-01-12,project-16,cloud-sql,us-east1,sandbox,finops,cost,24.367,11.568,0.612,70.036,67.154,0
data-quality-018-00013,2026-01-13,project-02,cloud-run,us-central1,prod,security,reliability,81.774,5.879,0.474,40.534,64.84,1
data-quality-018-00014,2026-01-14,project-19,bigquery,us-east1,prod,data,quality,61.277,5.501,0.509,102.533,67.05,0
data-quality-018-00015,2026-01-15,project-06,pubsub,asia-south1,staging,mlops,quality,35.621,4.366,0.08,94.664,39.26,0
data-quality-018-00016,2026-01-16,project-13,cloud-run,europe-west1,dev,data,security,0.0,10.804,0.233,34.121,38.34,0
data-quality-018-00017,2026-01-17,project-23,gke,asia-south1,prod,platform,quality,78.168,5.368,0.815,150.405,90.343,1
data-quality-018-00018,2026-01-18,project-20,cloud-sql,us-east1,prod,backend,reliability,88.617,7.771,0.621,73.276,81.569,1
data-quality-018-00019,2026-01-19,project-12,cloud-sql,us-central1,staging,platform,reliability,25.503,4.967,0.734,145.81,67.47,0
