record_id,event_date,project_name,service_name,gcp_region,environment,owning_team,signal_category,metric_a,metric_b,metric_c,metric_d,risk_score,retraining_needed
mlops-drift-023-00001,2026-01-01,project-18,bigquery,global,prod,security,reliability,68.429,6.143,0.527,140.789,77.261,1
mlops-drift-023-00002,2026-01-02,project-11,cloud-run,asia-south1,dev,backend,quality,64.847,10.752,0.486,30.203,69.199,0
mlops-drift-023-00003,2026-01-03,project-21,cloud-sql,us-central1,staging,mlops,cost,55.916,14.451,0.756,126.52,98.2,1
mlops-drift-023-00004,2026-01-04,project-19,cloud-sql,us-east1,prod,finops,latency,51.907,17.131,0.647,144.827,100,1
mlops-drift-023-00005,2026-01-05,project-13,cloud-run,global,dev,finops,latency,70.747,8.537,0.569,78.221,76.003,1
mlops-drift-023-00006,2026-01-06,project-09,compute,europe-west1,prod,security,security,86.263,5.312,0.647,60.444,74.046,1
mlops-drift-023-00007,2026-01-07,project-17,compute,us-east1,prod,finops,cost,83.748,8.232,0.724,162.767,97.597,1
mlops-drift-023-00008,2026-01-08,project-23,pubsub,us-east1,staging,mlops,reliability,57.732,4.76,0.683,109.017,71.116,0
mlops-drift-023-00009,2026-01-09,project-17,gke,asia-south1,dev,finops,quality,66.324,6.969,0.25,206.267,78.305,1
mlops-drift-023-00010,2026-01-10,project-01,compute,global,dev,finops,cost,25.741,9.538,0.664,20.041,57.427,0
mlops-drift-023-00011,2026-01-11,project-04,cloud-run,asia-south1,dev,mlops,security,58.62,4.32,0.607,106.85,67.424,0
mlops-drift-023-00012,2026-01-12,project-06,compute,asia-south1,staging,data,security,36.187,14.787,0.556,0.0,66.628,1
mlops-drift-023-00013,2026-01-13,project-15,bigquery,asia-south1,dev,security,security,36.748,9.436,0.596,65.132,65.238,0
mlops-drift-023-00014,2026-01-14,project-03,cloud-sql,europe-west1,staging,finops,cost,37.899,6.627,0.469,201.112,74.471,1
mlops-drift-023-00015,2026-01-15,project-04,compute,europe-west1,prod,finops,latency,81.533,8.891,0.731,62.267,83.948,1
mlops-drift-023-00016,2026-01-16,project-22,vertex-ai,global,prod,data,cost,65.375,10.211,0.433,165.23,85.958,1
mlops-drift-023-00017,2026-01-17,project-03,vertex-ai,us-east1,sandbox,backend,quality,27.57,16.684,0.875,172.803,100,1
mlops-drift-023-00018,2026-01-18,project-16,gke,global,prod,platform,quality,68.86,7.927,0.439,104.181,73.155,1
mlops-drift-023-00019,2026-01-19,project-09,gke,asia-south1,staging,backend,quality,59.037,7.138,0.529,174.301,81.252,1
mlops-drift-023-00020,2026-01-20,project-09,vertex-ai,global,sandbox,data,cost,59.302,7.924,0.776,111.876,82.72,1
mlops-drift-023-00021,2026-01-21,project-15,cloud-sql,global,prod,finops,quality,49.98,13.891,0.508,157.478,90.651,1
mlops-drift-023-00022,2026-01-22,project-24,vertex-ai,us-central1,sandbox,mlops,security,47.565,11.216,0.74,66.83,78.464,0
mlops-drift-023-00023,2026-01-23,project-08,cloud-sql,us-central1,dev,platform,security,40.827,11.461,0.543,138.568,80.245,1
mlops-drift-023-00024,2026-01-24,project-11,cloud-run,europe-west1,prod,backend,quality,51.133,8.686,0.62,112.631,76.289,1
mlops-drift-023-00025,2026-01-25,project-14,gke,us-east1,prod,backend,latency,62.94,9.208,0.655,136.886,86.402,1
mlops-drift-023-00026,2026-01-26,project-19,cloud-run,europe-west1,prod,backend,security,82.769,6.917,0.606,158.72,89.465,1
mlops-drift-023-00027,2026-01-27,project-11,bigquery,europe-west1,dev,finops,reliability,56.286,11.222,0.38,120.572,76.768,1
mlops-drift-023-00028,2026-01-28,project-24,gke,asia-south1,prod,data,latency,37.4,11.326,0.402,95.139,67.462,1
mlops-drift-023-00029,2026-01-29,project-18,compute,europe-west1,prod,platform,quality,77.122,8.463,0.35,131.754,78.204,1
mlops-drift-023-00030,2026-01-30,project-20,vertex-ai,europe-west1,dev,data,security,66.544,12.061,0.715,86.36,89.052,1
mlops-drift-023-00031,2026-01-31,project-15,gke,us-central1,dev,mlops,reliability,52.786,10.406,0.733,126.913,86.919,1
mlops-drift-023-00032,2026-02-01,project-10,vertex-ai,us-east1,prod,security,quality,52.881,15.538,0.774,92.059,95.279,1
mlops-drift-023-00033,2026-02-02,project-21,vertex-ai,global,prod,mlops,reliability,117.709,11.634,0.487,168.734,100,1
mlops-drift-023-00034,2026-02-03,project-13,bigquery,us-east1,dev,mlops,security,65.772,10.917,0.762,98.666,89.552,1
mlops-drift-023-00035,2026-02-04,project-01,pubsub,asia-south1,dev,security,latency,9.18,14.328,0.272,156.102,68.93,0
mlops-drift-023-00036,2026-02-05,project-04,bigquery,us-central1,sandbox,finops,latency,14.252,18.835,0.598,176.257,95.571,1
mlops-drift-023-00037,2026-02-06,project-13,cloud-run,global,dev,platform,reliability,61.771,10.139,0.567,142.77,85.943,1
mlops-drift-023-00038,2026-02-07,project-18,cloud-run,us-central1,prod,finops,latency,71.007,4.377,0.482,121.382,69.637,0
mlops-drift-023-00039,2026-02-08,project-12,vertex-ai,us-central1,prod,finops,latency,84.227,4.109,0.569,0.0,58.982,0
mlops-drift-023-00040,2026-02-09,project-21,bigquery,global,dev,security,cost,21.949,7.295,0.479,132.331,60.767,0
mlops-drift-023-00041,2026-02-10,project-08,compute,us-central1,prod,security,security,55.576,5.741,0.505,133.102,69.933,1
mlops-drift-023-00042,2026-02-11,project-04,bigquery,global,dev,mlops,cost,68.734,31.28,0.511,88.132,100,1
mlops-drift-023-00043,2026-02-12,project-23,cloud-sql,europe-west1,prod,security,reliability,72.063,21.281,0.473,87.095,100,1
mlops-drift-023-00044,2026-02-13,project-05,compute,us-east1,dev,data,reliability,32.271,4.48,0.224,106.134,45.066,0
mlops-drift-023-00045,2026-02-14,project-20,compute,europe-west1,dev,mlops,quality,63.259,12.973,0.285,133.067,81.792,1
mlops-drift-023-00046,2026-02-15,project-16,bigquery,asia-south1,dev,mlops,latency,52.12,11.009,0.784,131.197,90.503,1
mlops-drift-023-00047,2026-02-16,project-07,cloud-sql,us-central1,prod,mlops,quality,75.78,7.839,0.316,113.665,72.45,0
mlops-drift-023-00048,2026-02-17,project-13,bigquery,us-east1,prod,mlops,cost,66.603,10.953,0.169,70.313,65.037,0
mlops-drift-023-00049,2026-02-18,project-11,cloud-run,global,prod,platform,latency,59.085,6.463,0.793,114.079,80.152,1
mlops-drift-023-00050,2026-02-19,project-21,compute,asia-south1,prod,finops,reliability,54.106,15.537,0.734,86.281,93.463,1
mlops-drift-023-00051,2026-02-20,project-15,bigquery,us-east1,dev,backend,quality,62.546,5.598,0.361,83.131,59.711,0
mlops-drift-023-00052,2026-02-21,project-08,bigquery,europe-west1,prod,backend,reliability,38.248,13.766,0.903,154.323,99.618,1
mlops-drift-023-00053,2026-02-22,project-23,gke,europe-west1,staging,finops,cost,39.335,8.02,0.611,84.069,66.126,0
mlops-drift-023-00054,2026-02-23,project-24,cloud-run,asia-south1,dev,data,quality,66.625,16.871,0.331,201.038,100,1
mlops-drift-023-00055,2026-02-24,project-10,cloud-sql,europe-west1,prod,mlops,latency,70.03,13.594,0.676,89.021,92.872,1
mlops-drift-023-00056,2026-02-25,project-06,cloud-sql,global,staging,security,latency,80.564,9.764,0.694,134.05,94.819,1
mlops-drift-023-00057,2026-02-26,project-03,vertex-ai,us-central1,dev,platform,latency,56.938,5.08,0.782,155.292,81.798,1
mlops-drift-023-00058,2026-02-27,project-22,gke,us-central1,prod,backend,reliability,49.669,8.524,0.619,82.451,70.963,0
mlops-drift-023-00059,2026-02-28,project-02,pubsub,us-central1,sandbox,finops,latency,82.258,8.512,0.453,93.505,78.143,1
mlops-drift-023-00060,2026-03-01,project-09,vertex-ai,global,sandbox,mlops,reliability,38.624,12.552,0.7,103.593,82.414,1
mlops-drift-023-00061,2026-03-02,project-19,cloud-run,asia-south1,prod,platform,quality,72.109,7.999,1.0,144.7,100,1
mlops-drift-023-00062,2026-03-03,project-07,vertex-ai,asia-south1,sandbox,data,quality,47.365,4.482,0.372,148.178,61.665,0
mlops-drift-023-00063,2026-03-04,project-20,gke,global,prod,finops,latency,98.419,7.364,0.665,60.396,83.712,1
mlops-drift-023-00064,2026-03-05,project-02,vertex-ai,asia-south1,prod,backend,security,80.216,10.509,0.677,126.789,94.782,1
mlops-drift-023-00065,2026-03-06,project-01,pubsub,us-east1,staging,platform,reliability,30.648,9.342,0.268,142.855,62.738,0
mlops-drift-023-00066,2026-03-07,project-07,cloud-sql,asia-south1,dev,mlops,quality,50.57,28.134,0.76,28.642,100,1
mlops-drift-023-00067,2026-03-08,project-24,pubsub,us-east1,prod,backend,cost,78.176,6.325,0.641,98.475,78.916,1
mlops-drift-023-00068,2026-03-09,project-18,compute,asia-south1,sandbox,platform,latency,38.876,9.633,0.387,75.579,60.651,0
mlops-drift-023-00069,2026-03-10,project-15,pubsub,asia-south1,dev,backend,security,43.056,7.671,0.434,114.585,64.869,1
mlops-drift-023-00070,2026-03-11,project-09,pubsub,us-central1,prod,platform,cost,61.902,7.549,0.497,125.873,75.032,1
mlops-drift-023-00071,2026-03-12,project-16,bigquery,asia-south1,dev,security,cost,13.092,10.187,0.877,139.268,79.357,1
mlops-drift-023-00072,2026-03-13,project-21,cloud-sql,us-east1,dev,backend,reliability,68.844,12.753,0.615,122.442,93.234,1
mlops-drift-023-00073,2026-03-14,project-09,vertex-ai,europe-west1,prod,mlops,reliability,89.856,17.258,0.628,140.493,100,1
mlops-drift-023-00074,2026-03-15,project-19,vertex-ai,asia-south1,dev,security,cost,56.466,3.686,0.616,46.524,56.709,0
mlops-drift-023-00075,2026-03-16,project-15,vertex-ai,us-east1,sandbox,data,cost,18.677,11.573,0.298,142.983,64.822,0
mlops-drift-023-00076,2026-03-17,project-19,cloud-run,global,prod,platform,reliability,53.019,11.071,0.722,158.744,92.809,1
mlops-drift-023-00077,2026-03-18,project-12,cloud-run,global,dev,security,security,38.075,5.195,0.176,60.922,40.492,0
mlops-drift-023-00078,2026-03-19,project-02,pubsub,global,staging,mlops,latency,16.797,16.936,0.314,22.919,59.729,0
mlops-drift-023-00079,2026-03-20,project-08,pubsub,asia-south1,sandbox,platform,quality,30.182,4.55,0.421,114.686,52.64,0
mlops-drift-023-00080,2026-03-21,project-03,vertex-ai,global,prod,platform,cost,72.221,4.711,0.579,147.959,78.112,1
mlops-drift-023-00081,2026-03-22,project-03,cloud-sql,europe-west1,prod,mlops,security,64.941,11.406,0.789,26.391,80.807,1
mlops-drift-023-00082,2026-03-23,project-04,gke,asia-south1,dev,backend,reliability,24.612,8.123,0.662,152.505,72.978,1
mlops-drift-023-00083,2026-03-24,project-11,bigquery,us-central1,prod,backend,quality,77.627,11.976,0.431,189.126,97.779,1
mlops-drift-023-00084,2026-03-25,project-18,gke,global,staging,backend,quality,15.279,21.288,0.736,122.886,98.701,1
mlops-drift-023-00085,2026-03-26,project-11,cloud-sql,global,dev,mlops,quality,62.783,11.192,0.357,204.787,90.448,1
mlops-drift-023-00086,2026-03-27,project-24,cloud-sql,asia-south1,prod,data,reliability,72.708,7.817,0.765,114.194,87.116,1
mlops-drift-023-00087,2026-03-28,project-14,vertex-ai,asia-south1,sandbox,finops,quality,38.638,8.797,0.785,115.007,78.296,1
mlops-drift-023-00088,2026-03-29,project-04,pubsub,europe-west1,prod,platform,reliability,45.481,6.007,0.362,126.291,61.022,0
mlops-drift-023-00089,2026-03-30,project-08,pubsub,asia-south1,prod,mlops,reliability,92.034,4.379,0.568,0.0,62.31,0
mlops-drift-023-00090,2026-03-31,project-13,gke,global,staging,security,security,39.6,5.82,0.694,168.006,76.231,1
mlops-drift-023-00091,2026-04-01,project-15,vertex-ai,us-east1,dev,backend,security,60.93,18.278,0.405,257.707,100,1
mlops-drift-023-00092,2026-04-02,project-01,cloud-sql,us-east1,prod,data,cost,39.507,6.196,0.279,67.919,47.955,0
mlops-drift-023-00093,2026-04-03,project-20,pubsub,europe-west1,prod,platform,cost,55.103,13.869,0.518,170.484,94.639,1
mlops-drift-023-00094,2026-04-04,project-06,cloud-sql,asia-south1,dev,mlops,latency,23.783,13.683,0.621,124.704,80.172,1
mlops-drift-023-00095,2026-04-05,project-10,cloud-sql,us-east1,prod,platform,security,67.718,9.742,0.481,53.287,71.039,0
mlops-drift-023-00096,2026-04-06,project-02,cloud-run,us-east1,sandbox,mlops,reliability,53.235,4.642,0.639,24.214,55.36,0
mlops-drift-023-00097,2026-04-07,project-18,compute,asia-south1,dev,finops,latency,42.421,6.989,0.48,60.168,56.73,0
mlops-drift-023-00098,2026-04-08,project-05,cloud-run,us-east1,prod,platform,cost,53.514,6.336,0.372,47.889,53.518,0
mlops-drift-023-00099,2026-04-09,project-17,compute,global,prod,platform,reliability,70.712,7.892,0.839,111.807,88.834,1
mlops-drift-023-00100,2026-04-10,project-24,cloud-sql,asia-south1,prod,mlops,cost,70.129,18.78,1.088,83.405,100,1
mlops-drift-023-00101,2026-04-11,project-03,gke,europe-west1,sandbox,mlops,quality,47.002,19.399,0.688,70.769,96.116,1
mlops-drift-023-00102,2026-04-12,project-17,pubsub,asia-south1,staging,platform,quality,55.149,9.637,0.76,215.537,99.821,1
mlops-drift-023-00103,2026-04-13,project-20,cloud-sql,europe-west1,prod,data,reliability,58.748,19.131,0.615,0.0,86.726,1
mlops-drift-023-00104,2026-04-14,project-12,bigquery,us-east1,prod,data,reliability,50.665,7.377,0.287,121.695,62.738,0
mlops-drift-023-00105,2026-04-15,project-21,pubsub,asia-south1,prod,platform,quality,54.222,10.056,0.134,145.935,68.414,0
mlops-drift-023-00106,2026-04-16,project-20,gke,us-central1,prod,platform,cost,101.91,7.989,0.22,163.914,85.914,1
mlops-drift-023-00107,2026-04-17,project-24,bigquery,us-east1,sandbox,finops,reliability,58.43,13.399,0.702,115.906,93.188,1
mlops-drift-023-00108,2026-04-18,project-21,cloud-sql,europe-west1,prod,backend,security,60.0,6.326,0.714,154.112,83.225,1
mlops-drift-023-00109,2026-04-19,project-21,vertex-ai,asia-south1,prod,mlops,quality,90.175,3.564,0.679,148.172,85.251,1
mlops-drift-023-00110,2026-04-20,project-11,gke,asia-south1,prod,data,reliability,64.154,6.386,0.652,89.089,73.167,1
mlops-drift-023-00111,2026-04-21,project-22,pubsub,asia-south1,dev,backend,security,34.676,17.684,0.713,7.273,79.415,1
mlops-drift-023-00112,2026-04-22,project-09,cloud-sql,us-central1,prod,security,quality,50.349,17.311,0.493,115.293,92.083,1
mlops-drift-023-00113,2026-04-23,project-07,compute,us-central1,prod,platform,security,78.708,3.702,0.704,215.587,92.266,1
mlops-drift-023-00114,2026-04-24,project-16,vertex-ai,asia-south1,prod,backend,security,51.846,7.731,0.487,51.338,60.717,0
mlops-drift-023-00115,2026-04-25,project-20,cloud-sql,asia-south1,prod,data,latency,62.912,8.63,0.572,94.019,75.887,1
mlops-drift-023-00116,2026-04-26,project-15,vertex-ai,us-central1,prod,finops,cost,92.319,5.151,0.52,156.784,85.395,1
mlops-drift-023-00117,2026-04-27,project-09,cloud-run,europe-west1,prod,backend,latency,111.291,4.042,0.553,130.714,86.801,1
mlops-drift-023-00118,2026-04-28,project-09,bigquery,global,prod,mlops,cost,91.771,4.62,0.452,154.547,81.258,1
mlops-drift-023-00119,2026-04-29,project-15,vertex-ai,asia-south1,prod,finops,security,59.954,8.96,0.478,115.443,75.456,1
mlops-drift-023-00120,2026-04-30,project-14,cloud-run,global,prod,backend,cost,89.386,11.532,0.629,222.828,100,1
mlops-drift-023-00121,2026-05-01,project-18,pubsub,us-east1,staging,security,latency,46.356,5.313,0.564,50.176,55.679,0
mlops-drift-023-00122,2026-05-02,project-16,compute,global,dev,security,security,67.342,12.641,0.386,105.309,81.933,1
mlops-drift-023-00123,2026-05-03,project-21,compute,europe-west1,dev,mlops,cost,40.371,7.305,0.646,52.094,61.382,1
mlops-drift-023-00124,2026-05-04,project-13,cloud-sql,asia-south1,staging,security,latency,58.325,4.671,0.645,56.801,62.171,0
mlops-drift-023-00125,2026-05-05,project-04,cloud-run,global,prod,data,security,21.847,5.792,0.447,90.7,50.033,0
mlops-drift-023-00126,2026-05-06,project-03,bigquery,us-east1,staging,security,quality,9.902,6.31,0.77,69.771,55.314,0
mlops-drift-023-00127,2026-05-07,project-11,bigquery,global,dev,backend,cost,54.877,6.114,0.65,108.69,72.074,0
mlops-drift-023-00128,2026-05-08,project-15,bigquery,us-east1,staging,backend,quality,46.581,15.215,0.382,168.63,89.767,1
mlops-drift-023-00129,2026-05-09,project-12,cloud-sql,us-central1,sandbox,platform,reliability,42.317,12.521,0.584,98.363,78.811,1
mlops-drift-023-00130,2026-05-10,project-09,bigquery,asia-south1,prod,mlops,security,42.337,7.63,0.529,71.066,61.5,0
mlops-drift-023-00131,2026-05-11,project-24,cloud-sql,asia-south1,dev,mlops,quality,57.396,14.035,0.392,28.854,70.765,0
mlops-drift-023-00132,2026-05-12,project-23,cloud-run,us-east1,staging,mlops,quality,31.831,5.639,0.701,101.452,63.629,0
mlops-drift-023-00133,2026-05-13,project-15,gke,us-east1,prod,security,cost,93.729,13.348,0.248,158.543,95.751,1
mlops-drift-023-00134,2026-05-14,project-23,pubsub,global,prod,finops,reliability,43.943,4.237,0.547,109.012,60.309,0
mlops-drift-023-00135,2026-05-15,project-09,cloud-sql,us-central1,sandbox,platform,cost,85.733,13.042,0.511,198.999,100,1
mlops-drift-023-00136,2026-05-16,project-17,gke,asia-south1,dev,mlops,cost,69.593,9.032,0.642,108.251,83.689,1
mlops-drift-023-00137,2026-05-17,project-12,cloud-run,global,dev,platform,quality,43.474,13.278,0.543,77.283,76.473,0
mlops-drift-023-00138,2026-05-18,project-15,cloud-sql,asia-south1,staging,data,latency,37.796,14.094,0.613,205.557,97.547,1
mlops-drift-023-00139,2026-05-19,project-08,cloud-run,us-east1,dev,mlops,latency,58.525,10.063,0.502,223.776,94.168,1
mlops-drift-023-00140,2026-05-20,project-14,gke,us-central1,prod,mlops,security,56.022,12.513,0.548,62.997,77.172,1
mlops-drift-023-00141,2026-05-21,project-14,vertex-ai,us-central1,prod,finops,security,73.045,6.109,0.637,109.073,78.022,1
mlops-drift-023-00142,2026-05-22,project-21,bigquery,us-east1,prod,backend,security,98.891,8.28,0.529,125.339,90.725,1
mlops-drift-023-00143,2026-05-23,project-18,vertex-ai,us-central1,prod,backend,reliability,53.422,8.134,0.153,188.413,70.509,1
mlops-drift-023-00144,2026-05-24,project-21,vertex-ai,us-central1,prod,finops,security,58.334,5.187,0.437,115.784,64.7,0
mlops-drift-023-00145,2026-05-25,project-02,pubsub,us-east1,prod,data,reliability,89.239,13.029,0.578,173.538,100,1
mlops-drift-023-00146,2026-05-26,project-08,cloud-sql,europe-west1,staging,finops,security,50.268,12.396,0.528,139.147,85.29,1
mlops-drift-023-00147,2026-05-27,project-18,gke,asia-south1,sandbox,platform,reliability,50.965,4.848,0.368,46.282,48.779,0
mlops-drift-023-00148,2026-05-28,project-17,vertex-ai,global,prod,mlops,quality,50.451,9.43,0.555,129.77,78.011,1
mlops-drift-023-00149,2026-05-29,project-01,pubsub,europe-west1,staging,mlops,latency,85.475,5.505,0.187,135.398,69.052,0
mlops-drift-023-00150,2026-05-30,project-17,cloud-sql,global,staging,platform,cost,57.462,9.196,0.433,100.533,71.385,0
mlops-drift-023-00151,2026-05-31,project-03,gke,asia-south1,prod,data,quality,41.683,8.197,0.436,59.115,57.596,0
mlops-drift-023-00152,2026-06-01,project-20,cloud-run,asia-south1,prod,mlops,security,71.233,13.056,0.72,98.504,94.961,1
mlops-drift-023-00153,2026-06-02,project-23,pubsub,us-central1,sandbox,data,reliability,34.393,12.754,0.913,77.887,85.11,1
mlops-drift-023-00154,2026-06-03,project-23,cloud-run,us-central1,prod,data,reliability,72.495,7.79,0.355,165.54,80.116,1
mlops-drift-023-00155,2026-06-04,project-04,gke,asia-south1,prod,backend,quality,74.779,6.952,0.755,124.575,86.986,1
mlops-drift-023-00156,2026-06-05,project-17,gke,europe-west1,sandbox,data,security,65.264,3.806,0.54,147.901,72.192,1
mlops-drift-023-00157,2026-06-06,project-14,pubsub,us-east1,prod,mlops,quality,39.239,12.054,0.497,172.827,84.459,1
mlops-drift-023-00158,2026-06-07,project-01,compute,us-central1,prod,finops,reliability,56.282,8.269,0.615,144.018,81.521,1
mlops-drift-023-00159,2026-06-08,project-20,cloud-sql,global,staging,mlops,security,23.608,4.491,0.532,136.425,57.257,1
mlops-drift-023-00160,2026-06-09,project-21,cloud-run,europe-west1,prod,platform,latency,51.659,8.704,0.822,132.473,86.479,1
mlops-drift-023-00161,2026-06-10,project-12,gke,global,sandbox,data,quality,21.625,5.766,0.619,101.026,57.421,0
mlops-drift-023-00162,2026-06-11,project-17,cloud-sql,us-east1,prod,finops,security,73.313,8.359,0.382,24.119,62.051,0
mlops-drift-023-00163,2026-06-12,project-06,bigquery,us-central1,staging,platform,cost,41.941,18.014,0.352,151.755,91.163,1
mlops-drift-023-00164,2026-06-13,project-05,pubsub,us-central1,staging,mlops,latency,58.642,25.938,0.412,140.564,100,1
mlops-drift-023-00165,2026-06-14,project-20,bigquery,global,sandbox,mlops,quality,47.612,7.769,0.467,97.012,65.284,1
mlops-drift-023-00166,2026-06-15,project-17,vertex-ai,europe-west1,prod,finops,quality,39.028,2.638,0.489,157.682,59.925,0
mlops-drift-023-00167,2026-06-16,project-19,bigquery,europe-west1,prod,mlops,quality,82.141,16.713,0.226,54.143,83.552,1
mlops-drift-023-00168,2026-06-17,project-19,vertex-ai,global,dev,platform,reliability,50.476,15.907,0.435,129.331,88.869,1
mlops-drift-023-00169,2026-06-18,project-17,vertex-ai,europe-west1,prod,security,security,45.107,7.59,0.628,114.961,72.243,0
mlops-drift-023-00170,2026-06-19,project-08,vertex-ai,asia-south1,dev,platform,quality,28.483,8.652,0.532,102.806,63.77,0
mlops-drift-023-00171,2026-06-20,project-19,cloud-sql,asia-south1,prod,finops,reliability,57.442,14.211,0.337,65.007,74.539,1
mlops-drift-023-00172,2026-06-21,project-23,compute,us-east1,prod,security,cost,53.114,5.531,0.315,42.316,48.692,0
mlops-drift-023-00173,2026-06-22,project-18,compute,us-east1,dev,finops,security,47.795,16.438,0.343,129.398,85.959,1
mlops-drift-023-00174,2026-06-23,project-06,bigquery,us-east1,dev,mlops,quality,55.74,8.942,0.598,186.564,88.511,1
mlops-drift-023-00175,2026-06-24,project-22,vertex-ai,global,staging,platform,latency,51.043,14.846,0.727,60.3,86.744,1
