record_id,event_date,project_name,service_name,gcp_region,environment,owning_team,signal_category,metric_a,metric_b,metric_c,metric_d,risk_score,pipeline_failed
devops-ci-026-00001,2026-01-01,project-13,gke,asia-south1,dev,platform,cost,55.542,7.825,0.707,67.171,72.239,1
devops-ci-026-00002,2026-01-02,project-09,compute,us-east1,dev,finops,security,0.0,8.795,0.614,159.931,65.335,0
devops-ci-026-00003,2026-01-03,project-21,pubsub,us-central1,dev,data,reliability,55.899,5.948,0.613,5.895,55.758,0
devops-ci-026-00004,2026-01-04,project-23,gke,europe-west1,prod,data,latency,46.069,7.523,0.774,137.297,80.79,1
devops-ci-026-00005,2026-01-05,project-07,cloud-sql,us-central1,dev,security,reliability,42.416,24.002,0.669,84.674,100,1
devops-ci-026-00006,2026-01-06,project-22,gke,europe-west1,staging,platform,security,24.239,7.314,0.417,184.597,67.065,1
devops-ci-026-00007,2026-01-07,project-19,compute,europe-west1,prod,security,latency,78.462,22.939,0.71,174.607,100,1
devops-ci-026-00008,2026-01-08,project-24,vertex-ai,us-central1,prod,backend,security,41.04,3.645,0.764,178.384,75.623,1
devops-ci-026-00009,2026-01-09,project-01,compute,us-east1,dev,finops,reliability,54.527,11.008,0.475,40.312,67.274,0
devops-ci-026-00010,2026-01-10,project-15,vertex-ai,us-east1,prod,platform,cost,109.757,5.776,0.446,108.488,83.323,1
devops-ci-026-00011,2026-01-11,project-16,cloud-sql,asia-south1,dev,platform,cost,52.275,6.642,0.479,110.056,66.609,0
devops-ci-026-00012,2026-01-12,project-19,pubsub,global,staging,mlops,latency,25.058,9.002,0.734,150.234,77.374,1
devops-ci-026-00013,2026-01-13,project-23,vertex-ai,europe-west1,prod,data,latency,78.806,6.468,0.71,192.903,95.656,1
devops-ci-026-00014,2026-01-14,project-17,gke,europe-west1,staging,platform,reliability,32.923,19.656,0.559,190.787,100,1
devops-ci-026-00015,2026-01-15,project-21,compute,us-central1,sandbox,security,quality,66.396,8.115,0.772,181.897,95.72,1
devops-ci-026-00016,2026-01-16,project-02,compute,global,prod,platform,security,44.4,15.138,0.374,97.666,78.195,1
devops-ci-026-00017,2026-01-17,project-03,cloud-sql,us-east1,dev,backend,latency,21.852,4.985,0.338,65.909,40.722,0
devops-ci-026-00018,2026-01-18,project-15,cloud-sql,global,staging,backend,reliability,39.157,3.763,0.611,130.473,62.898,0
devops-ci-026-00019,2026-01-19,project-04,cloud-run,europe-west1,prod,security,quality,52.587,8.858,0.346,181.409,77.64,1
devops-ci-026-00020,2026-01-20,project-18,pubsub,global,prod,data,cost,54.291,7.964,0.272,166.958,71.453,0
devops-ci-026-00021,2026-01-21,project-17,compute,asia-south1,prod,backend,reliability,61.982,5.22,0.43,134.848,68.589,1
devops-ci-026-00022,2026-01-22,project-10,compute,global,prod,finops,reliability,50.568,4.724,0.363,165.046,65.496,0
devops-ci-026-00023,2026-01-23,project-12,compute,europe-west1,staging,mlops,security,38.053,7.706,0.627,116.921,70.295,0
devops-ci-026-00024,2026-01-24,project-08,bigquery,us-central1,prod,mlops,latency,22.801,6.954,0.653,127.268,65.621,0
devops-ci-026-00025,2026-01-25,project-18,bigquery,global,sandbox,backend,reliability,59.197,10.037,0.802,99.543,86.725,1
devops-ci-026-00026,2026-01-26,project-02,vertex-ai,us-central1,dev,mlops,latency,1.007,10.07,0.433,27.088,42.954,0
devops-ci-026-00027,2026-01-27,project-17,gke,us-central1,staging,data,reliability,28.357,10.162,0.409,82.229,59.943,0
devops-ci-026-00028,2026-01-28,project-17,compute,us-central1,dev,platform,reliability,63.371,5.915,0.424,87.272,63.549,1
devops-ci-026-00029,2026-01-29,project-10,compute,europe-west1,prod,finops,cost,37.376,9.17,0.172,57.764,48.922,0
devops-ci-026-00030,2026-01-30,project-18,cloud-run,asia-south1,prod,backend,security,70.742,9.367,0.709,130.033,90.394,1
devops-ci-026-00031,2026-01-31,project-15,bigquery,us-central1,prod,platform,latency,84.014,11.034,0.397,50.626,76.429,1
devops-ci-026-00032,2026-02-01,project-09,cloud-sql,europe-west1,sandbox,platform,cost,42.334,4.435,0.576,207.349,75.564,1
devops-ci-026-00033,2026-02-02,project-12,vertex-ai,asia-south1,prod,platform,reliability,62.374,7.376,0.519,46.398,63.973,0
devops-ci-026-00034,2026-02-03,project-23,pubsub,europe-west1,dev,security,reliability,26.559,4.38,0.604,28.188,44.766,0
devops-ci-026-00035,2026-02-04,project-11,vertex-ai,global,prod,finops,cost,59.64,7.088,0.794,78.938,76.714,1
devops-ci-026-00036,2026-02-05,project-03,gke,global,prod,mlops,cost,57.891,8.896,0.606,135.663,82.013,1
devops-ci-026-00037,2026-02-06,project-16,bigquery,europe-west1,prod,data,reliability,75.32,13.153,0.832,181.827,100,1
devops-ci-026-00038,2026-02-07,project-17,gke,global,sandbox,finops,quality,22.321,3.927,0.436,73.193,42.909,0
devops-ci-026-00039,2026-02-08,project-21,gke,us-east1,dev,data,cost,64.469,19.539,0.524,111.48,100,1
devops-ci-026-00040,2026-02-09,project-17,gke,us-east1,prod,security,quality,59.681,9.983,0.682,106.604,83.598,1
devops-ci-026-00041,2026-02-10,project-16,vertex-ai,asia-south1,sandbox,mlops,latency,39.587,7.647,0.752,162.508,81.718,1
devops-ci-026-00042,2026-02-11,project-16,pubsub,us-east1,prod,backend,security,53.378,4.983,0.928,96.36,76.842,1
devops-ci-026-00043,2026-02-12,project-05,compute,global,prod,mlops,latency,41.638,19.414,0.663,77.305,94.351,1
devops-ci-026-00044,2026-02-13,project-06,bigquery,asia-south1,prod,platform,security,68.324,8.335,0.484,183.928,87.125,1
devops-ci-026-00045,2026-02-14,project-18,vertex-ai,us-east1,prod,data,quality,72.887,7.204,0.671,232.373,99.693,1
devops-ci-026-00046,2026-02-15,project-12,bigquery,asia-south1,dev,backend,latency,36.615,9.639,0.183,1.946,41.995,0
devops-ci-026-00047,2026-02-16,project-04,cloud-sql,europe-west1,prod,data,cost,20.118,4.12,0.597,64.785,46.997,0
devops-ci-026-00048,2026-02-17,project-01,pubsub,asia-south1,prod,security,quality,40.302,9.344,0.666,142.511,80.001,1
devops-ci-026-00049,2026-02-18,project-04,cloud-sql,us-central1,staging,backend,reliability,54.051,6.312,0.802,28.215,65.831,1
devops-ci-026-00050,2026-02-19,project-24,bigquery,asia-south1,prod,backend,latency,40.429,22.781,0.559,87.545,99.638,1
devops-ci-026-00051,2026-02-20,project-10,vertex-ai,us-central1,prod,mlops,security,61.458,17.25,0.486,122.718,96.667,1
devops-ci-026-00052,2026-02-21,project-21,cloud-run,asia-south1,prod,backend,security,60.861,4.643,0.382,87.64,58.286,1
devops-ci-026-00053,2026-02-22,project-09,compute,global,staging,platform,cost,62.219,6.708,0.655,136.48,80.257,1
devops-ci-026-00054,2026-02-23,project-12,cloud-sql,europe-west1,dev,security,latency,38.609,12.393,0.672,227.018,99.057,1
devops-ci-026-00055,2026-02-24,project-06,cloud-run,us-central1,prod,finops,security,52.875,19.761,0.824,212.717,100,1
devops-ci-026-00056,2026-02-25,project-17,cloud-run,asia-south1,sandbox,platform,cost,35.579,21.912,0.503,139.877,100,1
devops-ci-026-00057,2026-02-26,project-05,vertex-ai,europe-west1,prod,backend,latency,88.365,6.929,0.79,39.443,80.498,1
devops-ci-026-00058,2026-02-27,project-10,cloud-sql,asia-south1,sandbox,data,security,63.535,9.073,0.732,131.488,88.203,1
devops-ci-026-00059,2026-02-28,project-06,pubsub,us-east1,prod,data,reliability,25.694,15.286,0.439,46.952,66.872,1
devops-ci-026-00060,2026-03-01,project-11,cloud-run,asia-south1,sandbox,platform,security,12.586,7.053,0.497,146.977,59.691,1
devops-ci-026-00061,2026-03-02,project-08,cloud-sql,global,prod,backend,latency,45.452,16.598,0.61,149.234,97.75,1
devops-ci-026-00062,2026-03-03,project-20,pubsub,global,staging,mlops,security,45.806,8.279,0.573,44.649,61.916,0
devops-ci-026-00063,2026-03-04,project-17,vertex-ai,us-east1,prod,backend,cost,66.652,6.028,0.795,50.529,72.587,0
devops-ci-026-00064,2026-03-05,project-24,vertex-ai,us-east1,prod,mlops,latency,68.387,5.831,0.288,192.031,75.626,1
devops-ci-026-00065,2026-03-06,project-02,cloud-sql,asia-south1,dev,data,reliability,44.05,10.563,0.519,98.518,72.597,1
devops-ci-026-00066,2026-03-07,project-05,vertex-ai,global,prod,mlops,cost,52.514,10.645,0.373,165.802,80.453,1
devops-ci-026-00067,2026-03-08,project-02,bigquery,europe-west1,prod,security,cost,52.844,11.074,0.474,100.678,75.607,1
devops-ci-026-00068,2026-03-09,project-03,bigquery,europe-west1,sandbox,data,quality,52.48,7.678,0.431,225.745,84.289,1
devops-ci-026-00069,2026-03-10,project-14,cloud-sql,us-east1,prod,backend,quality,93.034,4.691,0.663,174.123,92.106,1
devops-ci-026-00070,2026-03-11,project-16,cloud-sql,asia-south1,prod,backend,latency,71.445,14.275,0.592,206.492,100,1
devops-ci-026-00071,2026-03-12,project-10,cloud-sql,global,staging,platform,quality,36.063,7.185,0.83,106.5,73.968,1
devops-ci-026-00072,2026-03-13,project-20,bigquery,us-central1,staging,mlops,cost,61.294,11.997,0.577,258.86,100,1
devops-ci-026-00073,2026-03-14,project-09,pubsub,asia-south1,prod,security,quality,75.415,5.039,0.471,192.515,82.713,1
