record_id,event_date,project_name,service_name,gcp_region,environment,owning_team,signal_category,metric_a,metric_b,metric_c,metric_d,risk_score,risk_detected
cloud-security-027-00001,2026-01-01,project-09,pubsub,europe-west1,prod,backend,latency,83.845,8.33,0.842,99.412,92.75,1
cloud-security-027-00002,2026-01-02,project-15,cloud-sql,global,prod,backend,security,92.805,6.24,0.56,151.662,88.759,1
cloud-security-027-00003,2026-01-03,project-05,compute,asia-south1,dev,mlops,security,32.25,14.499,0.55,105.414,79.741,1
cloud-security-027-00004,2026-01-04,project-07,bigquery,asia-south1,sandbox,backend,cost,30.81,10.571,0.313,203.35,76.059,1
cloud-security-027-00005,2026-01-05,project-04,bigquery,us-east1,sandbox,finops,latency,75.673,14.876,0.924,105.731,100,1
cloud-security-027-00006,2026-01-06,project-13,vertex-ai,global,dev,finops,latency,45.623,13.356,0.737,196.286,100,1
cloud-security-027-00007,2026-01-07,project-13,cloud-sql,global,prod,mlops,security,63.384,26.52,0.662,26.746,100,1
cloud-security-027-00008,2026-01-08,project-08,pubsub,us-east1,prod,platform,reliability,69.755,24.782,0.584,192.85,100,1
cloud-security-027-00009,2026-01-09,project-20,cloud-sql,global,prod,mlops,security,79.353,5.176,0.921,75.332,83.072,1
cloud-security-027-00010,2026-01-10,project-03,cloud-sql,global,prod,security,cost,63.328,8.234,0.515,70.125,69.629,1
cloud-security-027-00011,2026-01-11,project-09,pubsub,asia-south1,dev,platform,cost,41.069,12.751,0.377,92.149,70.76,0
cloud-security-027-00012,2026-01-12,project-16,gke,us-east1,prod,backend,cost,41.384,18.949,0.659,51.324,89.248,1
cloud-security-027-00013,2026-01-13,project-22,compute,asia-south1,dev,mlops,reliability,69.297,7.664,0.816,99.278,85.175,1
cloud-security-027-00014,2026-01-14,project-04,bigquery,global,dev,mlops,security,23.451,7.867,0.519,213.522,75.868,1
cloud-security-027-00015,2026-01-15,project-18,gke,us-central1,dev,finops,security,35.765,10.783,0.329,99.333,63.679,1
cloud-security-027-00016,2026-01-16,project-19,bigquery,asia-south1,sandbox,finops,cost,43.546,10.658,0.756,135.666,86.354,1
cloud-security-027-00017,2026-01-17,project-13,vertex-ai,asia-south1,staging,backend,quality,32.882,5.769,0.541,100.699,58.59,0
cloud-security-027-00018,2026-01-18,project-06,pubsub,global,prod,platform,cost,49.004,6.096,0.623,147.454,74.684,1
cloud-security-027-00019,2026-01-19,project-19,gke,europe-west1,sandbox,data,reliability,33.734,10.351,0.578,136.711,76.126,1
cloud-security-027-00020,2026-01-20,project-20,vertex-ai,asia-south1,prod,data,cost,65.135,13.812,0.517,117.068,90.193,1
cloud-security-027-00021,2026-01-21,project-07,bigquery,europe-west1,prod,platform,cost,53.625,14.033,0.572,132.464,90.85,1
cloud-security-027-00022,2026-01-22,project-14,gke,us-east1,dev,finops,latency,61.886,10.005,0.713,167.987,94.458,1
cloud-security-027-00023,2026-01-23,project-10,gke,europe-west1,staging,finops,reliability,30.483,11.344,0.546,55.002,64.27,0
cloud-security-027-00024,2026-01-24,project-20,cloud-run,asia-south1,prod,security,quality,84.389,18.639,0.604,29.585,98.482,1
cloud-security-027-00025,2026-01-25,project-13,cloud-run,asia-south1,prod,finops,security,56.922,16.941,0.736,157.853,100,1
cloud-security-027-00026,2026-01-26,project-10,cloud-run,us-central1,sandbox,security,reliability,56.317,12.416,0.696,85.879,85.566,1
cloud-security-027-00027,2026-01-27,project-13,gke,us-east1,staging,security,security,36.935,12.252,0.545,142.741,81.407,1
cloud-security-027-00028,2026-01-28,project-16,vertex-ai,global,prod,finops,quality,36.23,13.904,0.557,100.465,79.269,1
cloud-security-027-00029,2026-01-29,project-24,cloud-run,europe-west1,prod,mlops,quality,70.117,11.559,0.463,3.644,68.248,1
cloud-security-027-00030,2026-01-30,project-03,cloud-run,asia-south1,prod,finops,cost,63.329,5.998,0.365,187.991,76.351,1
cloud-security-027-00031,2026-01-31,project-08,vertex-ai,asia-south1,dev,data,latency,46.71,2.957,0.521,159.283,64.712,1
cloud-security-027-00032,2026-02-01,project-20,cloud-run,global,sandbox,data,security,59.878,9.865,0.378,168.006,81.707,1
cloud-security-027-00033,2026-02-02,project-11,vertex-ai,asia-south1,dev,security,reliability,39.789,8.508,0.816,245.365,98.121,1
cloud-security-027-00034,2026-02-03,project-16,pubsub,asia-south1,dev,mlops,quality,7.499,8.38,0.704,73.25,57.5,0
cloud-security-027-00035,2026-02-04,project-17,gke,us-central1,dev,security,reliability,66.029,11.4,0.77,45.633,83.315,1
cloud-security-027-00036,2026-02-05,project-23,compute,asia-south1,sandbox,platform,cost,52.555,9.489,0.543,176.522,85.283,1
cloud-security-027-00037,2026-02-06,project-11,compute,europe-west1,dev,finops,latency,43.998,7.179,0.729,179.503,83.843,1
cloud-security-027-00038,2026-02-07,project-15,gke,asia-south1,prod,backend,reliability,60.697,12.006,0.511,147.356,88.632,1
cloud-security-027-00039,2026-02-08,project-09,gke,us-central1,staging,data,reliability,14.978,13.255,0.545,170.981,80.18,1
cloud-security-027-00040,2026-02-09,project-13,cloud-run,us-central1,dev,data,quality,72.636,15.571,0.523,84.523,92.386,1
cloud-security-027-00041,2026-02-10,project-23,vertex-ai,global,sandbox,finops,reliability,41.553,10.437,0.533,0.0,57.552,1
cloud-security-027-00042,2026-02-11,project-12,compute,europe-west1,prod,security,security,66.409,7.537,0.367,95.035,67.534,0
cloud-security-027-00043,2026-02-12,project-01,vertex-ai,global,staging,backend,security,47.096,13.318,0.245,109.501,72.103,1
cloud-security-027-00044,2026-02-13,project-06,compute,us-east1,prod,mlops,latency,73.882,13.911,0.427,142.853,94.095,1
cloud-security-027-00045,2026-02-14,project-13,compute,us-central1,staging,mlops,cost,43.503,8.029,0.648,52.31,64.269,0
cloud-security-027-00046,2026-02-15,project-21,compute,us-central1,sandbox,platform,quality,54.073,9.408,0.318,144.389,73.064,1
cloud-security-027-00047,2026-02-16,project-07,vertex-ai,asia-south1,dev,mlops,quality,27.084,10.799,0.25,58.126,51.904,0
cloud-security-027-00048,2026-02-17,project-24,cloud-sql,us-east1,prod,mlops,cost,58.866,9.771,0.606,183.744,91.408,1
cloud-security-027-00049,2026-02-18,project-08,vertex-ai,europe-west1,dev,security,reliability,42.409,15.514,0.627,65.044,82.473,1
cloud-security-027-00050,2026-02-19,project-09,vertex-ai,global,dev,platform,reliability,55.886,11.555,0.579,97.333,80.981,1
