record_id,event_date,project_name,service_name,gcp_region,environment,owning_team,signal_category,metric_a,metric_b,metric_c,metric_d,risk_score,critical_alert
aiops-alerts-034-00001,2026-01-01,project-06,gke,europe-west1,sandbox,mlops,security,45.118,10.635,0.479,202.872,86.957,1
aiops-alerts-034-00002,2026-01-02,project-12,pubsub,asia-south1,prod,platform,cost,58.635,11.845,0.425,49.087,70.194,1
aiops-alerts-034-00003,2026-01-03,project-23,gke,asia-south1,dev,mlops,security,62.474,5.31,0.534,181.161,79.365,1
aiops-alerts-034-00004,2026-01-04,project-19,gke,global,sandbox,finops,quality,40.413,9.525,0.775,0.0,63.495,0
aiops-alerts-034-00005,2026-01-05,project-12,compute,us-central1,prod,platform,reliability,58.724,13.114,0.916,59.911,91.95,1
aiops-alerts-034-00006,2026-01-06,project-21,pubsub,global,staging,mlops,reliability,76.773,8.16,0.552,122.625,83.113,1
aiops-alerts-034-00007,2026-01-07,project-06,bigquery,global,prod,mlops,latency,30.835,5.713,0.251,51.244,40.381,0
aiops-alerts-034-00008,2026-01-08,project-17,cloud-sql,global,prod,platform,quality,65.973,5.027,0.576,89.246,67.995,0
aiops-alerts-034-00009,2026-01-09,project-21,bigquery,global,staging,security,cost,31.581,8.061,0.374,142.279,63.701,0
aiops-alerts-034-00010,2026-01-10,project-10,compute,europe-west1,prod,data,security,51.961,12.532,0.284,64.595,66.788,1
aiops-alerts-034-00011,2026-01-11,project-16,cloud-sql,global,prod,data,cost,53.839,11.258,0.606,48.451,73.388,1
aiops-alerts-034-00012,2026-01-12,project-04,compute,us-east1,prod,platform,reliability,72.904,11.677,0.403,29.846,71.22,1
aiops-alerts-034-00013,2026-01-13,project-10,bigquery,europe-west1,dev,mlops,security,48.487,4.429,0.61,153.604,71.055,1
aiops-alerts-034-00014,2026-01-14,project-17,cloud-sql,asia-south1,prod,data,reliability,96.208,7.401,0.578,78.163,82.571,1
aiops-alerts-034-00015,2026-01-15,project-17,bigquery,us-east1,dev,data,security,37.21,5.215,0.572,122.696,63.105,0
aiops-alerts-034-00016,2026-01-16,project-11,vertex-ai,us-central1,prod,finops,latency,82.548,9.328,0.367,111.126,79.708,1
aiops-alerts-034-00017,2026-01-17,project-07,cloud-sql,us-east1,prod,security,quality,57.781,12.801,0.922,178.025,100,1
aiops-alerts-034-00018,2026-01-18,project-22,compute,global,sandbox,mlops,cost,45.187,9.506,0.242,118.114,63.691,0
aiops-alerts-034-00019,2026-01-19,project-08,gke,us-east1,sandbox,mlops,reliability,43.372,10.008,0.637,144.905,81.959,1
aiops-alerts-034-00020,2026-01-20,project-01,gke,global,prod,platform,quality,53.605,12.316,0.481,62.428,73.438,0
aiops-alerts-034-00021,2026-01-21,project-22,compute,global,staging,security,quality,34.241,14.908,0.931,140.749,99.881,1
aiops-alerts-034-00022,2026-01-22,project-21,cloud-sql,global,prod,data,reliability,84.677,11.448,0.476,86.211,85.581,1
aiops-alerts-034-00023,2026-01-23,project-17,vertex-ai,us-east1,prod,security,security,39.463,15.223,0.441,20.402,67.743,1
aiops-alerts-034-00024,2026-01-24,project-05,compute,us-central1,prod,data,security,46.928,13.718,0.454,90.336,77.497,1
aiops-alerts-034-00025,2026-01-25,project-20,bigquery,europe-west1,dev,backend,cost,22.895,11.644,0.759,141.335,82.359,1
aiops-alerts-034-00026,2026-01-26,project-07,cloud-run,global,prod,security,reliability,68.684,5.427,0.584,172.417,82.287,1
aiops-alerts-034-00027,2026-01-27,project-12,pubsub,us-east1,staging,data,cost,59.814,5.937,0.603,100.498,70.549,1
aiops-alerts-034-00028,2026-01-28,project-22,vertex-ai,us-east1,sandbox,backend,security,22.486,6.666,0.465,127.948,58.358,0
aiops-alerts-034-00029,2026-01-29,project-24,cloud-run,us-central1,prod,backend,security,68.756,7.753,0.488,117.556,76.379,1
aiops-alerts-034-00030,2026-01-30,project-16,compute,us-central1,prod,mlops,quality,37.641,7.756,0.38,207.848,74.883,1
aiops-alerts-034-00031,2026-01-31,project-17,gke,asia-south1,prod,data,cost,59.629,13.752,0.422,98.261,82.058,1
aiops-alerts-034-00032,2026-02-01,project-06,compute,us-east1,prod,mlops,cost,71.141,7.153,0.565,133.033,80.765,1
aiops-alerts-034-00033,2026-02-02,project-18,vertex-ai,global,dev,backend,quality,22.29,14.186,0.208,60.768,57.044,1
aiops-alerts-034-00034,2026-02-03,project-10,pubsub,us-east1,prod,platform,cost,52.749,9.083,0.66,56.263,70.961,1
aiops-alerts-034-00035,2026-02-04,project-20,cloud-run,us-east1,prod,security,cost,72.677,4.962,1.046,91.467,86.964,1
aiops-alerts-034-00036,2026-02-05,project-03,pubsub,global,dev,security,reliability,51.203,20.099,0.318,167.791,100,1
aiops-alerts-034-00037,2026-02-06,project-09,vertex-ai,global,staging,mlops,cost,31.374,7.378,0.517,51.755,53.839,0
aiops-alerts-034-00038,2026-02-07,project-24,pubsub,asia-south1,prod,data,quality,89.957,14.426,0.372,83.904,90.402,1
aiops-alerts-034-00039,2026-02-08,project-03,bigquery,us-central1,staging,security,quality,29.451,5.181,0.765,170.003,73.964,1
aiops-alerts-034-00040,2026-02-09,project-01,gke,us-east1,dev,platform,quality,46.527,7.328,0.774,105.827,75.906,0
