record_id,event_date,project_name,service_name,gcp_region,environment,owning_team,signal_category,metric_a,metric_b,metric_c,metric_d,risk_score,incident_escalated
gke-sre-042-00001,2026-01-01,project-06,gke,europe-west1,prod,data,cost,48.773,11.251,0.702,7.689,69.014,0
gke-sre-042-00002,2026-01-02,project-01,gke,global,dev,finops,security,59.725,27.531,0.418,181.412,100,1
gke-sre-042-00003,2026-01-03,project-02,bigquery,europe-west1,staging,platform,latency,37.177,6.845,0.442,63.05,53.648,0
gke-sre-042-00004,2026-01-04,project-17,bigquery,global,dev,security,quality,3.218,10.428,0.572,58.917,54.07,0
gke-sre-042-00005,2026-01-05,project-05,pubsub,global,prod,security,quality,69.128,13.681,0.533,24.967,78.413,1
gke-sre-042-00006,2026-01-06,project-20,vertex-ai,us-east1,staging,mlops,latency,48.274,9.607,0.432,143.698,75.388,1
gke-sre-042-00007,2026-01-07,project-02,pubsub,us-east1,staging,data,latency,37.397,11.204,0.819,146.518,89.264,1
gke-sre-042-00008,2026-01-08,project-01,cloud-run,asia-south1,dev,backend,latency,67.45,7.093,0.327,125.437,69.896,0
gke-sre-042-00009,2026-01-09,project-16,cloud-run,us-east1,prod,mlops,cost,85.698,6.023,0.494,73.305,72.028,1
gke-sre-042-00010,2026-01-10,project-02,cloud-sql,europe-west1,prod,backend,reliability,98.326,10.825,0.669,149.613,100,1
gke-sre-042-00011,2026-01-11,project-13,compute,asia-south1,staging,backend,latency,26.226,4.765,0.637,31.763,47.225,0
gke-sre-042-00012,2026-01-12,project-09,pubsub,us-central1,staging,platform,latency,65.63,8.806,0.528,169.435,86.707,1
gke-sre-042-00013,2026-01-13,project-12,cloud-run,us-central1,dev,backend,latency,27.779,6.407,0.612,42.422,52.279,0
gke-sre-042-00014,2026-01-14,project-03,compute,us-central1,prod,platform,latency,88.634,5.599,0.722,127.392,87.934,1
gke-sre-042-00015,2026-01-15,project-14,cloud-sql,global,prod,security,cost,79.554,8.269,0.762,183.518,100,1
