record_id,event_date,project_name,service_name,gcp_region,environment,owning_team,signal_category,metric_a,metric_b,metric_c,metric_d,risk_score,evaluation_passed
genai-rag-045-00001,2026-01-01,project-02,cloud-run,us-central1,prod,data,cost,79.543,10.197,0.588,54.776,80.201,1
genai-rag-045-00002,2026-01-02,project-16,cloud-sql,europe-west1,prod,data,reliability,24.664,5.73,0.529,57.55,48.91,0
genai-rag-045-00003,2026-01-03,project-24,vertex-ai,europe-west1,dev,platform,security,50.058,7.565,0.46,103.068,66.303,1
genai-rag-045-00004,2026-01-04,project-13,cloud-sql,us-central1,prod,platform,reliability,65.538,4.62,0.353,14.814,48.234,0
genai-rag-045-00005,2026-01-05,project-08,vertex-ai,asia-south1,prod,backend,cost,93.116,9.411,0.496,93.074,85.483,1
genai-rag-045-00006,2026-01-06,project-12,cloud-run,us-east1,prod,security,cost,61.874,12.917,0.61,167.849,97.624,1
genai-rag-045-00007,2026-01-07,project-22,compute,global,prod,data,security,81.761,9.095,0.735,125.625,93.883,1
genai-rag-045-00008,2026-01-08,project-15,cloud-run,europe-west1,dev,platform,latency,71.104,7.055,0.819,156.906,92.895,1
genai-rag-045-00009,2026-01-09,project-13,compute,global,dev,security,quality,22.626,9.326,0.429,82.364,56.706,0
genai-rag-045-00010,2026-01-10,project-02,cloud-sql,europe-west1,prod,finops,cost,48.595,17.718,0.551,36.843,83.008,1
genai-rag-045-00011,2026-01-11,project-17,pubsub,asia-south1,dev,platform,cost,30.739,10.925,0.725,138.275,81.79,1
genai-rag-045-00012,2026-01-12,project-01,gke,global,staging,data,security,50.192,12.046,0.387,71.41,69.633,0
genai-rag-045-00013,2026-01-13,project-15,gke,asia-south1,prod,platform,cost,67.674,1.961,0.55,151.743,69.641,0
genai-rag-045-00014,2026-01-14,project-06,bigquery,asia-south1,dev,finops,reliability,86.584,7.198,0.799,103.235,90.12,1
genai-rag-045-00015,2026-01-15,project-08,bigquery,asia-south1,prod,backend,quality,105.746,6.019,0.746,169.446,100,1
genai-rag-045-00016,2026-01-16,project-20,bigquery,global,dev,data,latency,31.002,6.024,0.659,70.858,58.305,0
genai-rag-045-00017,2026-01-17,project-15,cloud-sql,us-central1,dev,backend,latency,56.051,9.969,0.558,134.967,82.092,1
genai-rag-045-00018,2026-01-18,project-03,pubsub,asia-south1,dev,data,quality,21.893,16.003,0.763,118.992,89.061,1
genai-rag-045-00019,2026-01-19,project-07,compute,europe-west1,sandbox,data,security,59.118,6.999,0.555,0.0,56.447,0
genai-rag-045-00020,2026-01-20,project-19,bigquery,asia-south1,dev,security,quality,31.158,6.663,0.638,90.281,61.948,0
genai-rag-045-00021,2026-01-21,project-23,vertex-ai,us-east1,sandbox,mlops,quality,22.102,4.33,0.431,119.474,50.347,0
genai-rag-045-00022,2026-01-22,project-10,bigquery,us-east1,sandbox,finops,cost,61.257,5.903,0.792,189.667,90.593,1
genai-rag-045-00023,2026-01-23,project-11,gke,asia-south1,prod,security,reliability,88.439,4.074,0.287,136.401,70.396,1
genai-rag-045-00024,2026-01-24,project-13,pubsub,asia-south1,prod,data,latency,84.381,15.152,0.758,108.073,100,1
genai-rag-045-00025,2026-01-25,project-22,pubsub,us-central1,prod,backend,security,47.998,7.024,0.533,222.092,84.232,1
genai-rag-045-00026,2026-01-26,project-15,bigquery,asia-south1,sandbox,security,latency,65.898,12.076,0.728,64.739,86.163,1
genai-rag-045-00027,2026-01-27,project-03,gke,europe-west1,sandbox,security,cost,57.519,8.434,0.683,207.173,93.929,1
genai-rag-045-00028,2026-01-28,project-18,gke,us-central1,dev,finops,cost,48.308,5.994,0.476,218.7,79.448,1
genai-rag-045-00029,2026-01-29,project-18,compute,global,dev,mlops,quality,50.88,14.206,0.726,149.976,98.237,1
genai-rag-045-00030,2026-01-30,project-15,gke,europe-west1,sandbox,security,quality,65.716,11.29,0.563,95.949,83.041,1
genai-rag-045-00031,2026-01-31,project-17,compute,global,dev,backend,quality,27.792,12.497,0.537,96.469,71.75,0
genai-rag-045-00032,2026-02-01,project-06,bigquery,us-east1,staging,finops,latency,54.137,16.219,0.601,145.134,98.993,1
genai-rag-045-00033,2026-02-02,project-24,bigquery,asia-south1,dev,finops,cost,52.973,7.609,0.81,125.117,82.891,1
genai-rag-045-00034,2026-02-03,project-02,cloud-run,europe-west1,prod,security,latency,60.259,7.653,0.678,151.839,84.821,1
genai-rag-045-00035,2026-02-04,project-18,gke,global,dev,finops,cost,56.325,4.574,0.328,122.837,59.78,0
genai-rag-045-00036,2026-02-05,project-07,bigquery,us-east1,dev,backend,reliability,49.778,12.684,0.664,122.306,88.095,1
genai-rag-045-00037,2026-02-06,project-18,compute,europe-west1,dev,data,latency,33.39,7.296,0.437,24.936,47.642,0
genai-rag-045-00038,2026-02-07,project-19,gke,us-east1,prod,data,reliability,68.499,10.494,0.426,96.259,77.408,1
genai-rag-045-00039,2026-02-08,project-11,compute,us-east1,sandbox,security,cost,38.641,11.91,0.78,54.299,76.533,1
genai-rag-045-00040,2026-02-09,project-04,cloud-run,us-central1,dev,backend,reliability,37.228,13.807,0.583,33.813,70.582,1
genai-rag-045-00041,2026-02-10,project-15,vertex-ai,us-east1,sandbox,finops,reliability,41.65,4.214,0.561,101.938,58.911,0
genai-rag-045-00042,2026-02-11,project-20,cloud-run,global,prod,mlops,latency,66.721,11.614,0.798,186.431,100,1
genai-rag-045-00043,2026-02-12,project-16,pubsub,asia-south1,staging,finops,latency,33.021,9.305,0.373,156.462,69.141,0
genai-rag-045-00044,2026-02-13,project-24,compute,europe-west1,staging,mlops,reliability,49.727,8.438,0.785,74.383,75.416,1
genai-rag-045-00045,2026-02-14,project-18,pubsub,asia-south1,prod,security,latency,57.991,8.62,0.628,84.41,74.7,1
genai-rag-045-00046,2026-02-15,project-05,compute,asia-south1,prod,security,reliability,8.308,3.468,0.496,90.751,41.594,0
genai-rag-045-00047,2026-02-16,project-16,cloud-sql,europe-west1,prod,platform,reliability,85.376,10.549,0.594,94.994,89.139,1
genai-rag-045-00048,2026-02-17,project-09,cloud-run,europe-west1,prod,security,cost,41.384,14.989,0.467,0.0,65.804,0
genai-rag-045-00049,2026-02-18,project-22,vertex-ai,us-central1,staging,backend,quality,34.836,7.043,0.499,111.19,62.306,0
genai-rag-045-00050,2026-02-19,project-21,pubsub,global,sandbox,security,latency,62.791,13.514,0.55,157.249,95.692,1
genai-rag-045-00051,2026-02-20,project-12,vertex-ai,asia-south1,prod,mlops,reliability,46.822,13.765,0.572,62.078,77.579,1
genai-rag-045-00052,2026-02-21,project-22,cloud-run,asia-south1,prod,mlops,cost,40.625,9.387,0.686,182.232,86.707,1
genai-rag-045-00053,2026-02-22,project-06,cloud-sql,europe-west1,prod,security,security,44.861,6.028,0.342,142.561,62.527,0
genai-rag-045-00054,2026-02-23,project-20,compute,europe-west1,prod,security,quality,77.92,19.918,0.684,138.214,100,1
genai-rag-045-00055,2026-02-24,project-05,pubsub,global,staging,mlops,reliability,42.792,8.143,0.658,68.936,67.061,0
genai-rag-045-00056,2026-02-25,project-22,vertex-ai,europe-west1,staging,security,cost,23.998,14.653,0.544,149.69,83.459,1
genai-rag-045-00057,2026-02-26,project-12,bigquery,us-east1,staging,security,security,36.632,10.422,0.4,54.658,59.11,1
genai-rag-045-00058,2026-02-27,project-02,compute,us-east1,dev,finops,latency,56.756,7.675,0.506,139.235,75.788,1
genai-rag-045-00059,2026-02-28,project-14,cloud-run,us-east1,dev,data,latency,41.205,1.94,0.791,74.25,57.462,1
genai-rag-045-00060,2026-03-01,project-23,gke,us-east1,prod,security,security,103.844,10.953,0.423,76.608,87.879,1
genai-rag-045-00061,2026-03-02,project-01,vertex-ai,us-east1,staging,security,latency,43.745,9.491,0.762,225.806,97.056,1
genai-rag-045-00062,2026-03-03,project-02,pubsub,europe-west1,sandbox,finops,cost,51.134,16.665,0.522,158.969,98.235,1
genai-rag-045-00063,2026-03-04,project-17,cloud-sql,asia-south1,dev,backend,security,55.995,5.008,0.499,168.941,73.386,1
genai-rag-045-00064,2026-03-05,project-01,cloud-run,global,dev,finops,security,57.317,4.521,0.296,94.144,54.699,0
genai-rag-045-00065,2026-03-06,project-21,compute,asia-south1,sandbox,platform,security,0.0,6.763,0.56,111.301,51.612,0
genai-rag-045-00066,2026-03-07,project-05,gke,global,staging,security,latency,67.017,6.797,0.589,23.471,63.353,0
genai-rag-045-00067,2026-03-08,project-15,bigquery,europe-west1,prod,backend,latency,44.162,19.161,0.325,116.707,88.56,1
genai-rag-045-00068,2026-03-09,project-24,cloud-sql,global,staging,data,quality,59.162,4.006,0.788,103.749,72.764,1
genai-rag-045-00069,2026-03-10,project-14,vertex-ai,asia-south1,sandbox,mlops,reliability,53.689,13.115,0.756,96.524,89.929,1
genai-rag-045-00070,2026-03-11,project-02,bigquery,asia-south1,prod,finops,cost,24.433,15.115,0.548,122.19,80.819,1
genai-rag-045-00071,2026-03-12,project-20,vertex-ai,global,prod,security,cost,56.223,6.685,0.563,12.323,56.778,0
genai-rag-045-00072,2026-03-13,project-11,bigquery,asia-south1,dev,data,cost,20.501,6.898,0.732,102.136,63.786,1
genai-rag-045-00073,2026-03-14,project-11,cloud-run,us-central1,dev,platform,cost,22.717,9.344,0.404,140.559,64.392,0
genai-rag-045-00074,2026-03-15,project-20,cloud-run,asia-south1,prod,backend,latency,80.011,6.749,0.659,109.197,82.741,1
genai-rag-045-00075,2026-03-16,project-14,cloud-run,global,prod,finops,security,60.957,8.304,0.527,83.383,71.316,0
genai-rag-045-00076,2026-03-17,project-19,bigquery,asia-south1,sandbox,data,latency,25.586,9.624,0.424,72.17,56.776,1
genai-rag-045-00077,2026-03-18,project-19,vertex-ai,global,dev,finops,security,45.17,8.415,0.228,139.463,63.763,1
