record_id,event_date,project_name,service_name,gcp_region,environment,owning_team,signal_category,metric_a,metric_b,metric_c,metric_d,risk_score,quality_issue
data-quality-068-00001,2026-01-01,project-23,vertex-ai,global,prod,finops,security,83.98,12.874,0.383,75.497,83.847,1
data-quality-068-00002,2026-01-02,project-20,gke,us-central1,prod,platform,quality,81.735,7.644,0.794,109.758,90.24,1
data-quality-068-00003,2026-01-03,project-20,cloud-sql,europe-west1,staging,backend,security,20.445,7.011,0.577,159.853,67.022,0
data-quality-068-00004,2026-01-04,project-15,pubsub,us-east1,prod,backend,cost,78.371,9.162,0.436,174.21,89.473,1
data-quality-068-00005,2026-01-05,project-15,cloud-run,us-central1,prod,platform,latency,59.127,8.614,0.692,86.903,77.687,1
data-quality-068-00006,2026-01-06,project-01,compute,europe-west1,dev,backend,security,92.305,12.082,0.444,112.096,92.385,1
data-quality-068-00007,2026-01-07,project-24,pubsub,asia-south1,sandbox,finops,security,22.887,8.634,0.601,181.99,75.732,1
data-quality-068-00008,2026-01-08,project-16,compute,us-central1,prod,backend,latency,71.419,9.307,0.212,97.693,68.38,1
data-quality-068-00009,2026-01-09,project-14,cloud-run,global,prod,platform,quality,41.0,12.815,0.54,196.64,91.828,1
data-quality-068-00010,2026-01-10,project-21,cloud-run,global,prod,mlops,security,64.439,5.881,0.665,154.864,82.135,1
data-quality-068-00011,2026-01-11,project-11,cloud-sql,global,dev,backend,cost,40.422,8.437,0.325,73.103,55.87,0
data-quality-068-00012,2026-01-12,project-12,cloud-run,global,sandbox,mlops,reliability,41.937,14.589,0.481,105.823,80.986,1
data-quality-068-00013,2026-01-13,project-24,cloud-sql,us-central1,sandbox,security,cost,21.645,14.397,0.385,98.007,68.936,1
data-quality-068-00014,2026-01-14,project-15,gke,asia-south1,sandbox,backend,latency,49.663,3.45,0.534,170.587,68.999,0
data-quality-068-00015,2026-01-15,project-04,gke,europe-west1,staging,data,quality,48.905,9.91,0.643,164.151,86.684,1
data-quality-068-00016,2026-01-16,project-10,cloud-sql,europe-west1,prod,security,cost,71.624,7.568,0.47,113.177,75.682,1
data-quality-068-00017,2026-01-17,project-08,cloud-run,europe-west1,dev,platform,latency,42.088,18.456,0.529,97.224,90.488,1
data-quality-068-00018,2026-01-18,project-10,cloud-run,us-central1,prod,finops,reliability,79.762,6.209,0.729,61.317,76.861,1
data-quality-068-00019,2026-01-19,project-20,cloud-run,asia-south1,prod,finops,cost,67.984,9.473,0.869,120.76,93.924,1
data-quality-068-00020,2026-01-20,project-18,compute,us-central1,dev,backend,cost,45.646,6.428,0.318,126.102,60.495,0
data-quality-068-00021,2026-01-21,project-05,cloud-sql,us-central1,prod,finops,quality,47.731,5.472,0.585,150.344,71.874,1
data-quality-068-00022,2026-01-22,project-21,cloud-run,us-east1,prod,finops,reliability,62.758,4.736,0.657,146.6,77.39,1
data-quality-068-00023,2026-01-23,project-15,pubsub,us-east1,sandbox,backend,cost,54.488,7.559,0.393,125.429,68.755,1
data-quality-068-00024,2026-01-24,project-05,vertex-ai,europe-west1,prod,data,cost,63.97,5.937,0.858,162.957,90.037,1
data-quality-068-00025,2026-01-25,project-18,gke,us-east1,staging,finops,security,53.614,8.731,0.644,131.264,80.82,1
data-quality-068-00026,2026-01-26,project-16,vertex-ai,global,prod,backend,reliability,65.167,9.136,0.822,104.276,88.103,1
data-quality-068-00027,2026-01-27,project-18,pubsub,europe-west1,dev,finops,quality,2.545,10.695,0.506,123.324,61.541,1
data-quality-068-00028,2026-01-28,project-07,pubsub,us-central1,dev,finops,cost,42.002,4.616,0.349,61.441,46.647,0
data-quality-068-00029,2026-01-29,project-04,pubsub,europe-west1,staging,security,latency,5.591,4.544,0.731,91.914,51.549,0
data-quality-068-00030,2026-01-30,project-02,vertex-ai,europe-west1,dev,security,reliability,57.888,6.287,0.548,123.194,72.076,1
data-quality-068-00031,2026-01-31,project-15,vertex-ai,global,prod,mlops,latency,82.34,14.05,0.951,126.256,100,1
data-quality-068-00032,2026-02-01,project-18,bigquery,global,prod,mlops,security,82.826,10.837,0.718,188.362,100,1
data-quality-068-00033,2026-02-02,project-17,compute,europe-west1,sandbox,security,cost,57.594,5.799,0.4,59.863,56.419,0
data-quality-068-00034,2026-02-03,project-12,compute,us-east1,dev,finops,quality,33.243,9.876,0.614,71.979,66.666,1
data-quality-068-00035,2026-02-04,project-05,compute,europe-west1,prod,platform,security,55.134,5.263,0.637,168.192,78.4,1
data-quality-068-00036,2026-02-05,project-08,pubsub,us-central1,dev,security,quality,51.248,11.304,1.066,151.81,100,1
data-quality-068-00037,2026-02-06,project-24,compute,us-central1,prod,mlops,cost,50.248,15.188,0.512,158.556,94.068,1
data-quality-068-00038,2026-02-07,project-20,pubsub,asia-south1,prod,backend,reliability,78.732,2.964,0.33,127.626,64.634,1
data-quality-068-00039,2026-02-08,project-01,gke,us-east1,prod,platform,security,57.054,8.019,0.333,166.12,74.561,1
