record_id,event_date,project_name,service_name,gcp_region,environment,owning_team,signal_category,metric_a,metric_b,metric_c,metric_d,risk_score,model_promoted
vertex-ai-070-00001,2026-01-01,project-09,cloud-sql,global,sandbox,mlops,cost,54.082,4.81,0.546,0.0,49.262,0
vertex-ai-070-00002,2026-01-02,project-12,vertex-ai,asia-south1,prod,finops,cost,61.535,14.301,0.523,125.244,91.476,1
vertex-ai-070-00003,2026-01-03,project-21,cloud-run,us-east1,staging,data,security,58.559,7.653,0.243,191.912,74.845,1
vertex-ai-070-00004,2026-01-04,project-17,cloud-sql,europe-west1,prod,platform,latency,69.277,10.089,0.558,84.273,79.608,1
vertex-ai-070-00005,2026-01-05,project-06,bigquery,global,sandbox,mlops,latency,50.105,8.018,0.896,144.659,88.702,1
vertex-ai-070-00006,2026-01-06,project-05,vertex-ai,asia-south1,prod,finops,quality,84.371,6.639,0.653,138.107,88.016,1
vertex-ai-070-00007,2026-01-07,project-13,vertex-ai,us-east1,dev,security,latency,58.19,6.869,0.687,176.552,86.186,1
vertex-ai-070-00008,2026-01-08,project-02,vertex-ai,global,prod,mlops,reliability,81.063,19.059,0.786,116.024,100,1
vertex-ai-070-00009,2026-01-09,project-23,cloud-run,europe-west1,prod,data,reliability,70.465,16.298,0.78,146.327,100,1
vertex-ai-070-00010,2026-01-10,project-18,cloud-sql,asia-south1,staging,finops,latency,58.243,5.629,0.798,120.507,79.023,1
vertex-ai-070-00011,2026-01-11,project-10,compute,us-central1,prod,platform,latency,71.138,8.378,0.553,55.216,71.854,1
vertex-ai-070-00012,2026-01-12,project-06,bigquery,asia-south1,prod,data,quality,27.491,8.378,0.732,128.367,73.511,1
vertex-ai-070-00013,2026-01-13,project-15,compute,europe-west1,dev,data,reliability,48.706,3.399,0.524,102.992,58.338,0
vertex-ai-070-00014,2026-01-14,project-16,cloud-sql,global,dev,platform,quality,50.236,7.753,0.743,84.755,74.038,1
vertex-ai-070-00015,2026-01-15,project-19,vertex-ai,asia-south1,sandbox,security,cost,63.579,7.614,0.685,75.568,75.014,1
vertex-ai-070-00016,2026-01-16,project-12,bigquery,us-east1,dev,mlops,security,33.061,25.115,0.404,123.164,100,1
vertex-ai-070-00017,2026-01-17,project-22,pubsub,europe-west1,prod,security,latency,68.42,5.017,0.412,139.673,70.442,1
vertex-ai-070-00018,2026-01-18,project-11,gke,europe-west1,prod,backend,cost,64.463,7.452,0.533,132.611,77.944,1
vertex-ai-070-00019,2026-01-19,project-11,bigquery,europe-west1,prod,backend,security,72.396,8.707,0.586,44.456,72.648,1
vertex-ai-070-00020,2026-01-20,project-11,cloud-sql,asia-south1,staging,security,latency,65.37,7.834,0.443,148.671,78.345,1
vertex-ai-070-00021,2026-01-21,project-16,vertex-ai,europe-west1,dev,backend,reliability,41.85,4.803,0.352,176.804,63.958,1
vertex-ai-070-00022,2026-01-22,project-03,bigquery,global,prod,backend,reliability,33.843,8.235,0.578,0.0,51.29,0
vertex-ai-070-00023,2026-01-23,project-19,compute,global,prod,finops,cost,49.226,12.732,0.495,162.45,87.953,1
vertex-ai-070-00024,2026-01-24,project-19,pubsub,us-central1,prod,security,reliability,50.461,12.513,0.693,78.587,82.574,1
vertex-ai-070-00025,2026-01-25,project-22,compute,asia-south1,sandbox,mlops,quality,34.345,4.702,0.616,209.434,75.095,1
vertex-ai-070-00026,2026-01-26,project-23,cloud-sql,us-east1,prod,data,reliability,49.33,9.848,0.679,175.038,89.536,1
vertex-ai-070-00027,2026-01-27,project-05,gke,us-east1,prod,backend,cost,28.239,4.603,0.422,216.564,66.976,1
vertex-ai-070-00028,2026-01-28,project-04,cloud-sql,europe-west1,dev,data,latency,31.074,8.83,0.332,102.647,58.069,1
vertex-ai-070-00029,2026-01-29,project-03,vertex-ai,us-central1,sandbox,platform,reliability,24.523,7.474,0.909,92.018,71.257,1
vertex-ai-070-00030,2026-01-30,project-07,pubsub,asia-south1,staging,platform,latency,59.161,6.976,0.769,12.338,65.698,1
vertex-ai-070-00031,2026-01-31,project-23,compute,asia-south1,sandbox,platform,reliability,44.982,9.088,0.643,150.847,81.453,1
vertex-ai-070-00032,2026-02-01,project-04,bigquery,us-east1,dev,security,latency,45.631,9.116,0.526,196.335,84.284,1
vertex-ai-070-00033,2026-02-02,project-15,cloud-run,asia-south1,sandbox,platform,reliability,46.743,12.104,0.829,157.707,96.617,1
