record_id,event_date,project_name,service_name,gcp_region,environment,owning_team,signal_category,metric_a,metric_b,metric_c,metric_d,risk_score,model_promoted
vertex-ai-080-00001,2026-01-01,project-10,bigquery,asia-south1,dev,platform,security,51.1,5.828,0.613,81.444,64.816,0
vertex-ai-080-00002,2026-01-02,project-11,vertex-ai,us-east1,prod,platform,security,42.621,10.898,0.277,239.722,85.0,1
vertex-ai-080-00003,2026-01-03,project-19,compute,asia-south1,prod,security,reliability,47.493,8.584,0.708,92.945,74.986,1
vertex-ai-080-00004,2026-01-04,project-15,pubsub,global,prod,platform,quality,63.512,5.725,0.383,165.762,73.166,1
vertex-ai-080-00005,2026-01-05,project-17,compute,us-east1,staging,mlops,reliability,53.569,9.758,0.564,90.178,74.409,1
vertex-ai-080-00006,2026-01-06,project-08,gke,global,staging,data,latency,22.526,4.275,0.289,3.048,28.419,0
vertex-ai-080-00007,2026-01-07,project-05,compute,us-east1,dev,platform,security,54.648,6.386,0.594,172.129,79.92,1
vertex-ai-080-00008,2026-01-08,project-23,compute,us-central1,prod,platform,security,62.88,8.277,0.614,128.843,81.601,1
vertex-ai-080-00009,2026-01-09,project-02,compute,europe-west1,staging,data,reliability,48.756,6.98,0.456,100.565,63.977,1
vertex-ai-080-00010,2026-01-10,project-24,pubsub,europe-west1,staging,security,cost,43.849,15.426,0.804,89.991,92.605,1
vertex-ai-080-00011,2026-01-11,project-07,bigquery,europe-west1,sandbox,finops,cost,54.245,12.448,0.723,155.995,96.085,1
vertex-ai-080-00012,2026-01-12,project-09,bigquery,us-east1,prod,mlops,latency,63.838,3.854,0.571,27.823,55.378,0
vertex-ai-080-00013,2026-01-13,project-01,gke,asia-south1,prod,backend,security,70.934,7.314,0.599,108.935,78.744,1
vertex-ai-080-00014,2026-01-14,project-09,cloud-run,global,staging,platform,security,70.576,6.505,0.674,109.261,79.404,1
vertex-ai-080-00015,2026-01-15,project-04,vertex-ai,asia-south1,prod,mlops,security,89.579,11.276,0.29,87.256,80.538,1
vertex-ai-080-00016,2026-01-16,project-10,bigquery,europe-west1,sandbox,finops,latency,70.568,29.847,0.857,0.0,100,1
vertex-ai-080-00017,2026-01-17,project-14,pubsub,us-east1,dev,security,cost,46.094,10.937,0.322,43.232,59.227,0
vertex-ai-080-00018,2026-01-18,project-16,pubsub,global,prod,platform,latency,66.195,7.027,0.552,0.0,58.885,0
vertex-ai-080-00019,2026-01-19,project-20,gke,us-central1,prod,mlops,reliability,66.307,4.946,0.586,54.202,63.163,1
vertex-ai-080-00020,2026-01-20,project-18,vertex-ai,us-central1,sandbox,finops,quality,60.78,7.501,0.472,236.736,89.819,1
vertex-ai-080-00021,2026-01-21,project-18,cloud-run,europe-west1,staging,finops,quality,50.212,13.581,1.056,90.14,99.369,1
vertex-ai-080-00022,2026-01-22,project-04,compute,us-east1,dev,security,quality,66.11,8.841,0.51,27.105,65.57,1
vertex-ai-080-00023,2026-01-23,project-02,pubsub,us-east1,prod,mlops,reliability,25.379,8.972,0.471,30.309,50.722,0
vertex-ai-080-00024,2026-01-24,project-07,gke,europe-west1,prod,mlops,security,56.823,7.485,0.49,97.968,68.79,0
vertex-ai-080-00025,2026-01-25,project-23,bigquery,us-east1,staging,backend,cost,58.879,6.084,0.573,175.15,80.401,1
vertex-ai-080-00026,2026-01-26,project-06,gke,asia-south1,staging,finops,latency,60.886,13.326,0.276,238.065,96.782,1
vertex-ai-080-00027,2026-01-27,project-19,gke,us-east1,prod,finops,quality,66.813,8.602,0.526,64.68,71.298,0
vertex-ai-080-00028,2026-01-28,project-15,compute,global,dev,finops,quality,20.2,6.241,0.727,57.739,55.498,0
vertex-ai-080-00029,2026-01-29,project-08,compute,us-central1,sandbox,security,security,52.32,15.37,0.659,159.744,100,1
vertex-ai-080-00030,2026-01-30,project-09,pubsub,asia-south1,sandbox,platform,reliability,22.718,4.925,0.307,59.74,38.9,0
vertex-ai-080-00031,2026-01-31,project-14,pubsub,us-central1,prod,data,reliability,66.244,15.702,0.372,55.425,80.926,1
vertex-ai-080-00032,2026-02-01,project-20,cloud-sql,global,prod,mlops,quality,46.082,5.754,0.487,62.459,55.708,0
vertex-ai-080-00033,2026-02-02,project-21,cloud-sql,us-central1,staging,finops,latency,51.487,9.035,0.359,98.852,66.083,1
vertex-ai-080-00034,2026-02-03,project-11,pubsub,europe-west1,prod,mlops,reliability,89.509,8.534,0.248,116.804,76.955,1
vertex-ai-080-00035,2026-02-04,project-19,compute,global,prod,finops,security,16.02,6.212,0.334,69.145,41.875,0
vertex-ai-080-00036,2026-02-05,project-14,vertex-ai,asia-south1,dev,data,reliability,40.936,5.384,0.59,74.471,58.401,0
vertex-ai-080-00037,2026-02-06,project-20,pubsub,us-east1,staging,mlops,security,32.499,3.834,0.78,99.059,62.067,0
vertex-ai-080-00038,2026-02-07,project-18,pubsub,global,dev,platform,quality,30.984,4.586,0.651,0.0,44.33,0
vertex-ai-080-00039,2026-02-08,project-21,pubsub,us-central1,prod,finops,latency,42.004,11.895,0.555,101.551,76.691,1
vertex-ai-080-00040,2026-02-09,project-01,vertex-ai,europe-west1,prod,security,latency,55.193,14.008,0.366,156.672,87.661,1
vertex-ai-080-00041,2026-02-10,project-04,cloud-run,global,prod,backend,cost,56.651,20.52,0.377,0.0,80.903,1
vertex-ai-080-00042,2026-02-11,project-20,compute,us-central1,prod,data,security,90.864,7.424,0.824,222.529,100,1
vertex-ai-080-00043,2026-02-12,project-17,vertex-ai,global,dev,security,cost,40.846,16.864,0.455,151.722,91.697,1
vertex-ai-080-00044,2026-02-13,project-24,pubsub,asia-south1,prod,mlops,quality,90.506,9.737,0.885,104.199,100,1
