record_id,event_date,project_name,service_name,gcp_region,environment,owning_team,signal_category,metric_a,metric_b,metric_c,metric_d,risk_score,retraining_needed
mlops-drift-083-00001,2026-01-01,project-03,cloud-run,us-central1,prod,platform,cost,61.742,8.301,0.396,153.987,77.295,1
mlops-drift-083-00002,2026-01-02,project-04,cloud-run,us-east1,prod,security,reliability,67.741,14.737,0.842,164.104,100,1
mlops-drift-083-00003,2026-01-03,project-17,bigquery,us-east1,staging,security,quality,23.446,5.532,0.38,166.85,58.746,0
mlops-drift-083-00004,2026-01-04,project-03,gke,europe-west1,prod,finops,security,45.084,11.032,0.587,193.293,90.254,1
mlops-drift-083-00005,2026-01-05,project-21,cloud-run,asia-south1,sandbox,finops,quality,30.586,8.51,0.761,61.319,66.139,0
mlops-drift-083-00006,2026-01-06,project-02,bigquery,us-east1,staging,data,cost,46.873,6.19,0.344,102.455,57.83,0
mlops-drift-083-00007,2026-01-07,project-23,vertex-ai,us-east1,prod,mlops,reliability,68.921,5.562,0.632,172.2,84.333,1
mlops-drift-083-00008,2026-01-08,project-06,gke,us-east1,dev,security,security,69.397,9.97,0.423,89.448,75.402,1
mlops-drift-083-00009,2026-01-09,project-17,pubsub,europe-west1,staging,security,quality,52.028,2.124,0.663,88.006,59.205,0
mlops-drift-083-00010,2026-01-10,project-10,compute,europe-west1,prod,mlops,quality,72.403,9.047,0.402,95.947,74.513,0
mlops-drift-083-00011,2026-01-11,project-21,compute,europe-west1,prod,platform,quality,52.962,8.774,0.5,133.764,76.017,0
mlops-drift-083-00012,2026-01-12,project-24,gke,europe-west1,staging,backend,latency,29.744,7.525,0.942,155.57,83.626,1
mlops-drift-083-00013,2026-01-13,project-06,cloud-run,asia-south1,staging,finops,reliability,59.049,7.736,0.661,117.214,78.947,1
mlops-drift-083-00014,2026-01-14,project-07,vertex-ai,europe-west1,dev,mlops,security,50.694,11.178,0.555,126.164,81.649,1
mlops-drift-083-00015,2026-01-15,project-03,cloud-sql,global,prod,mlops,latency,78.02,28.327,0.345,139.722,100,1
mlops-drift-083-00016,2026-01-16,project-04,compute,us-east1,dev,finops,security,70.026,8.716,0.821,94.777,87.403,1
mlops-drift-083-00017,2026-01-17,project-19,gke,asia-south1,prod,platform,cost,27.495,4.678,0.552,39.029,45.55,0
mlops-drift-083-00018,2026-01-18,project-24,gke,europe-west1,prod,mlops,latency,64.911,5.288,0.395,179.846,75.11,1
mlops-drift-083-00019,2026-01-19,project-01,cloud-run,global,staging,mlops,cost,75.946,16.707,0.356,53.161,85.777,1
mlops-drift-083-00020,2026-01-20,project-19,vertex-ai,global,sandbox,finops,cost,68.696,14.475,0.493,168.255,99.611,1
mlops-drift-083-00021,2026-01-21,project-23,bigquery,us-central1,prod,finops,reliability,75.534,8.035,0.557,63.067,73.878,1
mlops-drift-083-00022,2026-01-22,project-02,pubsub,global,sandbox,data,reliability,74.746,9.221,0.56,122.135,85.088,1
mlops-drift-083-00023,2026-01-23,project-12,cloud-run,asia-south1,prod,platform,reliability,54.004,6.509,0.687,110.125,74.194,1
mlops-drift-083-00024,2026-01-24,project-14,vertex-ai,europe-west1,prod,platform,cost,50.154,10.512,0.311,265.143,91.634,1
