record_id,event_date,project_name,service_name,gcp_region,environment,owning_team,signal_category,metric_a,metric_b,metric_c,metric_d,risk_score,critical_alert
aiops-alerts-084-00001,2026-01-01,project-20,gke,europe-west1,prod,backend,quality,52.142,5.346,0.276,126.812,58.877,0
aiops-alerts-084-00002,2026-01-02,project-05,bigquery,global,prod,data,quality,67.231,7.691,0.673,170.044,89.83,1
aiops-alerts-084-00003,2026-01-03,project-10,gke,us-east1,sandbox,finops,security,32.847,5.944,0.333,176.919,62.821,1
aiops-alerts-084-00004,2026-01-04,project-02,cloud-sql,europe-west1,dev,data,cost,64.655,15.953,0.701,216.061,100,1
aiops-alerts-084-00005,2026-01-05,project-19,cloud-sql,europe-west1,prod,data,security,78.633,8.229,0.674,103.016,85.336,1
aiops-alerts-084-00006,2026-01-06,project-08,cloud-run,us-east1,sandbox,data,quality,32.691,3.2,0.54,165.309,61.916,0
aiops-alerts-084-00007,2026-01-07,project-04,cloud-sql,global,dev,security,latency,39.222,17.239,0.157,163.008,83.219,1
aiops-alerts-084-00008,2026-01-08,project-15,bigquery,europe-west1,staging,platform,quality,95.759,15.43,0.731,203.205,100,1
aiops-alerts-084-00009,2026-01-09,project-03,bigquery,us-central1,prod,platform,reliability,33.416,5.281,0.421,135.763,58.552,0
aiops-alerts-084-00010,2026-01-10,project-02,pubsub,global,dev,backend,cost,3.64,12.913,0.586,0.0,51.914,0
aiops-alerts-084-00011,2026-01-11,project-03,gke,us-east1,prod,data,security,82.052,6.209,0.771,213.509,100,1
aiops-alerts-084-00012,2026-01-12,project-23,bigquery,europe-west1,prod,data,security,95.387,6.881,0.734,94.598,88.927,1
aiops-alerts-084-00013,2026-01-13,project-17,cloud-run,global,dev,security,reliability,66.326,4.218,0.096,143.161,57.294,0
aiops-alerts-084-00014,2026-01-14,project-01,pubsub,asia-south1,staging,platform,reliability,58.785,8.137,0.928,70.491,82.321,1
aiops-alerts-084-00015,2026-01-15,project-11,vertex-ai,us-east1,dev,backend,security,39.96,9.916,0.288,105.794,62.632,0
aiops-alerts-084-00016,2026-01-16,project-11,vertex-ai,europe-west1,staging,platform,security,57.46,17.955,0.322,118.031,90.489,1
aiops-alerts-084-00017,2026-01-17,project-18,gke,asia-south1,staging,backend,quality,32.883,5.125,0.489,104.36,55.802,0
aiops-alerts-084-00018,2026-01-18,project-22,pubsub,global,dev,mlops,security,51.279,6.347,0.484,165.037,73.765,1
aiops-alerts-084-00019,2026-01-19,project-23,vertex-ai,us-central1,dev,finops,reliability,40.198,10.232,0.571,86.045,70.477,0
aiops-alerts-084-00020,2026-01-20,project-10,bigquery,europe-west1,dev,mlops,quality,53.733,9.439,0.622,72.937,73.238,1
aiops-alerts-084-00021,2026-01-21,project-06,cloud-sql,europe-west1,staging,backend,security,63.015,9.563,0.615,119.961,83.388,1
aiops-alerts-084-00022,2026-01-22,project-16,cloud-sql,us-central1,prod,platform,cost,31.19,21.198,0.541,181.482,100,1
aiops-alerts-084-00023,2026-01-23,project-05,cloud-run,europe-west1,staging,data,latency,73.39,7.04,0.658,212.269,96.099,1
aiops-alerts-084-00024,2026-01-24,project-09,cloud-sql,asia-south1,dev,security,quality,23.273,7.409,0.454,114.54,58.027,1
aiops-alerts-084-00025,2026-01-25,project-09,cloud-sql,europe-west1,sandbox,data,cost,46.983,4.041,0.304,128.315,55.226,0
aiops-alerts-084-00026,2026-01-26,project-14,pubsub,us-east1,sandbox,finops,reliability,57.193,16.383,0.12,153.172,84.782,1
aiops-alerts-084-00027,2026-01-27,project-16,bigquery,europe-west1,prod,security,cost,50.594,8.946,0.546,112.158,74.048,1
aiops-alerts-084-00028,2026-01-28,project-24,vertex-ai,us-east1,dev,data,latency,41.919,11.506,0.384,85.973,67.497,1
aiops-alerts-084-00029,2026-01-29,project-08,vertex-ai,europe-west1,staging,backend,quality,44.886,6.511,0.627,213.494,83.982,1
aiops-alerts-084-00030,2026-01-30,project-07,compute,europe-west1,dev,security,quality,47.502,4.706,0.373,77.799,52.007,0
aiops-alerts-084-00031,2026-01-31,project-04,vertex-ai,asia-south1,prod,mlops,cost,75.527,6.596,0.885,89.883,85.908,1
aiops-alerts-084-00032,2026-02-01,project-06,cloud-run,asia-south1,dev,platform,latency,32.56,7.697,0.75,155.409,78.269,1
aiops-alerts-084-00033,2026-02-02,project-09,vertex-ai,asia-south1,staging,security,quality,40.971,6.708,0.678,97.644,67.962,0
aiops-alerts-084-00034,2026-02-03,project-15,cloud-sql,us-central1,dev,mlops,security,50.385,20.264,0.804,163.113,100,1
aiops-alerts-084-00035,2026-02-04,project-05,gke,asia-south1,prod,security,latency,84.353,6.17,0.615,89.525,78.501,1
aiops-alerts-084-00036,2026-02-05,project-24,bigquery,global,prod,platform,security,73.016,12.289,0.469,132.883,90.024,1
aiops-alerts-084-00037,2026-02-06,project-07,cloud-sql,global,staging,finops,quality,70.899,4.289,0.482,155.075,74.307,1
aiops-alerts-084-00038,2026-02-07,project-15,gke,asia-south1,sandbox,platform,quality,35.17,5.137,0.509,118.38,59.375,1
aiops-alerts-084-00039,2026-02-08,project-04,vertex-ai,us-east1,dev,backend,reliability,72.58,9.26,0.602,174.083,93.467,1
aiops-alerts-084-00040,2026-02-09,project-03,cloud-run,us-east1,staging,security,quality,45.035,7.729,0.687,252.112,94.608,1
aiops-alerts-084-00041,2026-02-10,project-11,vertex-ai,global,prod,finops,latency,44.647,12.53,0.698,327.634,100,1
aiops-alerts-084-00042,2026-02-11,project-22,gke,us-central1,prod,platform,reliability,69.508,13.001,0.514,112.909,89.119,1
aiops-alerts-084-00043,2026-02-12,project-24,gke,global,dev,data,security,37.18,4.54,0.596,219.152,76.426,1
aiops-alerts-084-00044,2026-02-13,project-09,bigquery,europe-west1,prod,data,security,77.93,5.72,0.711,0.0,65.507,0
aiops-alerts-084-00045,2026-02-14,project-04,compute,us-east1,sandbox,platform,security,62.218,4.461,0.667,112.833,71.985,0
aiops-alerts-084-00046,2026-02-15,project-16,vertex-ai,us-east1,dev,security,quality,34.986,11.745,0.72,72.767,75.462,1
aiops-alerts-084-00047,2026-02-16,project-24,bigquery,asia-south1,prod,platform,cost,37.441,4.746,0.414,144.94,59.805,0
aiops-alerts-084-00048,2026-02-17,project-21,cloud-sql,us-east1,sandbox,backend,latency,24.87,5.432,0.301,182.15,58.478,0
aiops-alerts-084-00049,2026-02-18,project-11,vertex-ai,asia-south1,dev,mlops,latency,43.241,5.722,0.525,127.463,65.449,0
aiops-alerts-084-00050,2026-02-19,project-12,vertex-ai,asia-south1,staging,security,quality,33.993,4.377,0.208,127.118,47.929,0
aiops-alerts-084-00051,2026-02-20,project-21,cloud-run,global,staging,platform,security,89.038,5.572,0.473,153.109,83.048,1
aiops-alerts-084-00052,2026-02-21,project-15,compute,us-central1,dev,security,cost,78.394,8.946,0.468,158.417,87.794,1
aiops-alerts-084-00053,2026-02-22,project-18,cloud-run,global,prod,finops,latency,56.365,7.77,0.525,173.158,81.485,1
aiops-alerts-084-00054,2026-02-23,project-07,pubsub,us-central1,sandbox,finops,reliability,53.877,14.725,0.642,41.435,81.728,1
aiops-alerts-084-00055,2026-02-24,project-19,compute,global,sandbox,security,latency,49.097,14.187,0.714,86.075,87.83,1
aiops-alerts-084-00056,2026-02-25,project-07,pubsub,us-central1,sandbox,mlops,latency,64.126,7.61,0.51,94.366,71.812,1
aiops-alerts-084-00057,2026-02-26,project-05,gke,us-central1,prod,security,quality,65.074,3.725,0.543,159.12,73.678,0
aiops-alerts-084-00058,2026-02-27,project-07,gke,us-east1,sandbox,data,latency,22.977,16.932,0.571,158.929,90.712,1
aiops-alerts-084-00059,2026-02-28,project-11,cloud-run,us-east1,sandbox,mlops,latency,56.249,14.423,0.445,92.481,82.403,1
aiops-alerts-084-00060,2026-03-01,project-05,cloud-sql,us-central1,prod,mlops,security,86.03,20.234,0.555,84.866,100,1
aiops-alerts-084-00061,2026-03-02,project-05,compute,us-central1,prod,backend,latency,84.433,6.367,0.421,114.741,75.876,1
aiops-alerts-084-00062,2026-03-03,project-01,bigquery,us-east1,prod,mlops,latency,75.233,8.944,0.624,69.541,79.182,1
aiops-alerts-084-00063,2026-03-04,project-01,bigquery,global,prod,finops,security,76.195,6.717,0.584,2.988,63.217,0
aiops-alerts-084-00064,2026-03-05,project-24,compute,europe-west1,prod,finops,cost,69.805,14.976,0.504,52.637,84.692,1
aiops-alerts-084-00065,2026-03-06,project-10,cloud-run,europe-west1,prod,security,latency,72.094,10.768,0.459,83.312,78.573,1
aiops-alerts-084-00066,2026-03-07,project-12,cloud-sql,asia-south1,prod,security,reliability,60.632,12.1,0.731,173.986,100,1
aiops-alerts-084-00067,2026-03-08,project-12,gke,europe-west1,sandbox,data,reliability,64.002,4.651,0.64,5.321,56.429,1
aiops-alerts-084-00068,2026-03-09,project-17,cloud-run,us-central1,dev,finops,security,42.442,17.544,0.708,64.649,89.999,1
aiops-alerts-084-00069,2026-03-10,project-23,vertex-ai,asia-south1,sandbox,platform,security,29.357,19.833,0.312,79.714,79.097,1
aiops-alerts-084-00070,2026-03-11,project-07,cloud-run,us-central1,prod,finops,reliability,61.773,6.626,0.596,110.359,74.035,1
aiops-alerts-084-00071,2026-03-12,project-19,vertex-ai,us-east1,prod,security,cost,84.649,2.553,0.464,158.06,74.875,1
aiops-alerts-084-00072,2026-03-13,project-07,cloud-sql,us-central1,sandbox,mlops,cost,39.115,9.187,0.659,138.493,78.388,1
aiops-alerts-084-00073,2026-03-14,project-09,cloud-sql,global,sandbox,mlops,reliability,58.468,8.658,0.543,27.173,63.634,1
aiops-alerts-084-00074,2026-03-15,project-17,pubsub,us-east1,prod,security,latency,63.273,6.238,0.764,101.589,78.256,1
aiops-alerts-084-00075,2026-03-16,project-04,gke,global,dev,data,latency,47.534,6.075,0.517,128.08,67.585,0
aiops-alerts-084-00076,2026-03-17,project-07,cloud-run,global,prod,platform,quality,76.773,10.943,0.485,8.665,70.643,1
aiops-alerts-084-00077,2026-03-18,project-13,compute,europe-west1,sandbox,backend,reliability,31.161,16.308,0.552,105.13,83.61,1
aiops-alerts-084-00078,2026-03-19,project-11,bigquery,us-east1,dev,mlops,security,56.336,9.127,0.705,123.24,83.661,1
aiops-alerts-084-00079,2026-03-20,project-10,vertex-ai,global,dev,finops,cost,56.436,5.19,0.45,208.502,78.019,1
aiops-alerts-084-00080,2026-03-21,project-01,bigquery,europe-west1,sandbox,finops,latency,35.764,7.088,0.448,94.875,58.572,0
aiops-alerts-084-00081,2026-03-22,project-08,vertex-ai,us-east1,prod,mlops,reliability,61.355,6.338,0.539,105.167,70.465,0
aiops-alerts-084-00082,2026-03-23,project-04,vertex-ai,asia-south1,prod,security,latency,49.114,5.673,0.518,33.936,53.506,0
aiops-alerts-084-00083,2026-03-24,project-16,pubsub,europe-west1,prod,finops,cost,97.934,12.156,0.285,102.377,87.546,1
aiops-alerts-084-00084,2026-03-25,project-02,pubsub,us-central1,prod,mlops,reliability,94.394,13.401,0.682,191.386,100,1
aiops-alerts-084-00085,2026-03-26,project-05,pubsub,europe-west1,sandbox,finops,quality,25.36,9.837,0.802,65.228,69.411,1
aiops-alerts-084-00086,2026-03-27,project-03,pubsub,europe-west1,dev,mlops,security,50.302,14.182,0.265,91.577,73.327,1
aiops-alerts-084-00087,2026-03-28,project-04,vertex-ai,asia-south1,prod,security,reliability,87.272,18.655,0.653,195.409,100,1
aiops-alerts-084-00088,2026-03-29,project-05,vertex-ai,us-east1,prod,platform,latency,55.482,5.613,0.428,99.945,62.071,1
aiops-alerts-084-00089,2026-03-30,project-10,vertex-ai,us-east1,staging,platform,reliability,7.798,11.571,0.136,96.767,48.6,0
aiops-alerts-084-00090,2026-03-31,project-14,compute,europe-west1,prod,mlops,reliability,58.104,13.678,0.222,137.557,80.082,1
aiops-alerts-084-00091,2026-04-01,project-11,pubsub,asia-south1,dev,security,latency,50.704,12.938,0.465,105.336,79.572,1
aiops-alerts-084-00092,2026-04-02,project-19,gke,asia-south1,prod,finops,reliability,80.812,20.196,0.268,173.202,100,1
aiops-alerts-084-00093,2026-04-03,project-06,vertex-ai,europe-west1,staging,security,latency,42.28,7.268,0.333,147.663,64.946,0
aiops-alerts-084-00094,2026-04-04,project-04,pubsub,europe-west1,sandbox,backend,reliability,41.373,13.185,0.554,172.918,89.853,1
aiops-alerts-084-00095,2026-04-05,project-08,cloud-run,us-east1,staging,mlops,latency,35.647,7.955,0.296,15.867,43.712,0
aiops-alerts-084-00096,2026-04-06,project-21,cloud-run,global,prod,data,reliability,60.508,9.251,0.225,143.594,71.579,0
aiops-alerts-084-00097,2026-04-07,project-21,vertex-ai,global,sandbox,backend,security,81.881,7.815,0.267,96.814,70.357,1
aiops-alerts-084-00098,2026-04-08,project-01,compute,us-east1,prod,platform,security,60.366,6.044,0.66,66.529,68.033,1
aiops-alerts-084-00099,2026-04-09,project-03,bigquery,asia-south1,dev,data,cost,40.391,13.226,0.391,164.644,82.693,1
aiops-alerts-084-00100,2026-04-10,project-24,cloud-run,europe-west1,staging,data,quality,21.156,10.731,0.582,102.014,67.691,1
aiops-alerts-084-00101,2026-04-11,project-04,compute,global,prod,backend,cost,69.693,8.887,0.576,102.23,80.197,1
aiops-alerts-084-00102,2026-04-12,project-22,compute,us-east1,dev,finops,cost,45.848,15.857,0.34,118.799,82.271,1
