record_id,event_date,project_name,service_name,gcp_region,environment,owning_team,signal_category,metric_a,metric_b,metric_c,metric_d,risk_score,evaluation_passed
genai-rag-085-00001,2026-01-01,project-14,compute,us-east1,sandbox,security,reliability,30.055,6.086,0.643,124.139,65.329,0
genai-rag-085-00002,2026-01-02,project-16,cloud-run,asia-south1,prod,backend,cost,68.96,9.749,0.611,47.799,75.239,1
genai-rag-085-00003,2026-01-03,project-23,bigquery,global,prod,finops,quality,79.248,10.778,0.157,35.831,63.606,1
genai-rag-085-00004,2026-01-04,project-22,cloud-sql,global,sandbox,security,reliability,31.284,10.936,0.606,103.732,72.804,1
genai-rag-085-00005,2026-01-05,project-11,bigquery,asia-south1,sandbox,platform,quality,26.262,12.329,0.593,90.063,71.849,1
genai-rag-085-00006,2026-01-06,project-04,compute,us-central1,prod,platform,reliability,75.972,8.588,0.763,154.266,95.831,1
genai-rag-085-00007,2026-01-07,project-20,gke,asia-south1,prod,backend,quality,87.387,12.979,0.376,71.436,84.448,1
genai-rag-085-00008,2026-01-08,project-23,cloud-sql,asia-south1,sandbox,platform,cost,21.243,6.015,0.253,107.395,45.987,0
genai-rag-085-00009,2026-01-09,project-23,gke,europe-west1,dev,security,cost,44.532,13.81,0.758,67.722,84.216,1
genai-rag-085-00010,2026-01-10,project-21,pubsub,europe-west1,prod,security,quality,74.293,4.642,0.732,205.711,92.453,1
genai-rag-085-00011,2026-01-11,project-20,compute,europe-west1,dev,data,cost,66.57,8.109,0.289,98.638,66.72,1
genai-rag-085-00012,2026-01-12,project-18,cloud-run,asia-south1,sandbox,finops,quality,68.343,5.788,0.298,100.084,62.451,0
genai-rag-085-00013,2026-01-13,project-22,pubsub,us-east1,prod,security,latency,38.288,10.304,0.476,124.191,72.215,0
genai-rag-085-00014,2026-01-14,project-03,cloud-run,us-central1,dev,backend,cost,33.156,7.895,0.679,154.001,76.25,1
genai-rag-085-00015,2026-01-15,project-05,vertex-ai,us-east1,sandbox,platform,quality,20.086,4.935,0.748,83.891,56.959,0
genai-rag-085-00016,2026-01-16,project-19,bigquery,asia-south1,prod,backend,security,45.555,3.387,0.315,134.198,54.443,0
genai-rag-085-00017,2026-01-17,project-12,vertex-ai,us-central1,prod,security,reliability,75.161,12.009,0.652,185.053,100,1
genai-rag-085-00018,2026-01-18,project-17,gke,us-central1,prod,finops,latency,59.76,6.045,0.836,141.025,84.847,1
genai-rag-085-00019,2026-01-19,project-17,gke,europe-west1,sandbox,backend,reliability,75.676,8.419,0.609,132.38,86.751,1
genai-rag-085-00020,2026-01-20,project-18,pubsub,us-east1,prod,data,reliability,77.45,7.562,0.617,156.546,89.177,1
genai-rag-085-00021,2026-01-21,project-15,bigquery,global,prod,finops,quality,48.909,8.628,0.634,188.519,86.933,1
genai-rag-085-00022,2026-01-22,project-10,cloud-run,us-east1,dev,backend,latency,37.426,16.554,0.451,206.11,97.568,1
genai-rag-085-00023,2026-01-23,project-16,compute,us-east1,sandbox,security,quality,46.597,3.459,0.599,101.399,60.132,0
genai-rag-085-00024,2026-01-24,project-19,pubsub,us-east1,prod,data,reliability,63.822,11.227,0.243,47.626,63.984,1
genai-rag-085-00025,2026-01-25,project-20,cloud-run,asia-south1,staging,security,reliability,44.528,6.354,0.425,33.287,50.14,0
genai-rag-085-00026,2026-01-26,project-01,pubsub,us-central1,dev,backend,reliability,44.729,9.946,0.716,187.894,91.324,1
genai-rag-085-00027,2026-01-27,project-17,cloud-run,us-central1,dev,security,cost,50.681,7.453,0.75,136.057,81.22,1
genai-rag-085-00028,2026-01-28,project-01,gke,europe-west1,sandbox,finops,latency,67.258,4.666,0.37,84.214,59.659,0
genai-rag-085-00029,2026-01-29,project-16,pubsub,global,prod,security,cost,73.893,12.734,0.498,119.342,90.409,1
genai-rag-085-00030,2026-01-30,project-19,compute,global,sandbox,platform,reliability,52.524,4.91,0.809,93.461,71.785,1
genai-rag-085-00031,2026-01-31,project-04,cloud-run,asia-south1,dev,platform,cost,81.675,8.988,0.588,153.473,92.52,1
genai-rag-085-00032,2026-02-01,project-20,cloud-run,asia-south1,prod,data,cost,57.158,8.357,0.495,127.92,75.485,1
genai-rag-085-00033,2026-02-02,project-15,pubsub,us-east1,prod,platform,cost,66.156,16.415,0.585,139.411,100,1
genai-rag-085-00034,2026-02-03,project-04,cloud-sql,us-east1,prod,finops,cost,68.533,14.183,0.423,129.546,90.777,1
